,PAX8 (7849),HRAS (3265),CCDC6 (8030),TFG (10342),NCOA4 (8031),KRAS (3845),CTNNB1 (1499),LEF1 (51176),CCND1 (595),MAP2K2 (5605),TCF7L1 (83439),BRAF (673),MAP2K1 (5604),RXRB (6257),RXRG (6258),RXRA (6256),PPARG (5468),TP53 (7157),RET (5979),NRAS (4893),TPR (7175),MAPK3 (5595),TCF7 (6932),NTRK1 (4914),MYC (4609),TPM3 (7170),CDH1 (999),MAPK1 (5594),TCF7L2 (6934)
ACH-000694,2.978195629681652,6.421896512042248,4.067810783789621,5.74604398299834,6.678212786421367,3.932628157022127,6.955591791753994,2.673556423990145,8.687235694107043,6.606886339275915,1.9708536543404835,2.839959587489532,5.308156975114762,4.649040565634448,0.0426443374084937,6.239550796613645,3.456806149230474,4.349789870241872,0.137503523749935,3.836934011321092,5.022367813028454,5.515384460636948,0.722466024471091,0.0426443374084937,6.625708843064466,8.8060017610634,7.048977225226046,5.699051844016849,3.507160349117523
ACH-000619,0.5655971758542251,6.264348763351165,3.2448870591235344,6.195150710564713,5.631104282365877,3.625270489374693,6.325530331567558,0.4541758931858021,7.834723855003643,5.846493315964563,1.9708536543404835,2.6622054996536164,5.237257770900372,4.07724299893246,0.0426443374084937,5.946028989515477,5.104755986962257,5.808899839257769,0.1505596765753814,4.141596278383818,4.606442228131607,5.140369670651527,2.84197311892718,0.0285691521967709,6.233811384293157,8.589651146514786,7.657497100444111,4.939226577728209,3.097610796626422
ACH-000647,1.91456452349394,4.888499735514123,5.57803297169654,6.9912950785428665,7.233044401265581,4.05484847699562,6.966707314150316,1.722466024471091,7.194362890727586,6.433627167084783,3.884597920990065,3.624100894628114,5.667040559022988,3.905928478173135,0.0565835283663675,4.788685710613533,6.159669547136702,6.36562255611334,2.1538053360790355,5.439623137557117,6.101608058502118,5.057016965365539,3.4356285940520905,0.3103401206121505,5.911212201558612,10.255736756877484,6.943218087426284,7.632922515461243,3.286881147788161
ACH-000231,2.353323291162897,5.609400390006429,4.608809242675524,7.101187815259738,6.3377110921282895,4.379898163524692,8.142617655446577,3.0143552929770703,7.03375335188982,6.767522386228545,2.0669502439246266,3.264536430999025,6.534964249804655,5.214513410080016,0.1110313123887439,4.204766750654613,0.5360529002402097,6.468420401864552,0.1890338243900171,5.813524689297811,5.673839055990439,4.910732661902912,2.7092906357233577,0.2265085298086797,4.473786911614368,9.800414606971549,1.7311832415722,5.727103603522661,3.572889668420581
ACH-000837,0.5160151470036647,5.502712485966061,3.940166750482817,6.789077126860354,5.467279480459983,4.522306892871389,7.651410525912998,2.485426827170241,8.493455200926176,6.506049668250324,0.903038270112912,2.5921580021253603,6.855491443101874,4.192983169973992,0.0,4.318316841334983,4.0925457415435655,5.7753139752538125,0.0,1.292781749227846,5.282810439572558,4.9740703670240265,0.2868811477881615,0.0426443374084937,5.2253520607761015,9.573003321641302,8.442072641229416,5.241840183564671,3.9411063109464313
