,AFDN (4301),SORBS1 (10580),WAS (7454),SNAI2 (6591),IGF1R (3480),RHOA (387),CREBBP (1387),LEF1 (51176),ACTN4 (81),PTPN6 (5777),ACTN1 (87),SNAI1 (6615),ERBB2 (2064),WASF2 (10163),RAC2 (5880),PTPRJ (5795),WASL (8976),RAC3 (5881),PTPRF (5792),WASF1 (8936),MAP3K7 (6885),FGFR1 (2260),IQGAP1 (8826),SMAD3 (4088),MAPK3 (5595),TCF7 (6932),SMAD4 (4089),ACTG1 (71),INSR (3643),WASF3 (10810),CTNNA1 (1495),PTPRB (5787),RAC1 (5879),TCF7L2 (6934),SMAD2 (4087),MAPK1 (5594),CSNK2A1 (1457),NECTIN3 (25945),CSNK2A2 (1459),EP300 (2033),EGFR (1956),VCL (7414),CTNNA2 (1496),CTNNB1 (1499),CTNND1 (1500),FARP2 (9855),CSNK2B (1460),TGFBR2 (7048),PTPRM (5797),NECTIN4 (81607),TGFBR1 (7046),ACTB (60),TJP1 (7082),MET (4233),SSX2IP (117178),SRC (6714),NLK (51701),TCF7L1 (83439),YES1 (7525),FER (2241),BAIAP2 (10458),CTNNA3 (29119),LMO7 (4008),FYN (2534),ACP1 (52),PTPN1 (5770),PARD3 (56288),CDC42 (998),ACTN2 (88),NECTIN2 (5819),CDH1 (999),ACTN3 (89),NECTIN1 (5818)
ACH-000694,5.544114402209474,0.7824085649273732,0.3673710656485294,5.143230134776893,4.260778431893426,7.646882672664623,4.679198570566922,2.673556423990145,7.841469999465799,5.159467729266766,7.331902233804704,0.3103401206121505,6.560409266362118,5.253232938538032,5.221877081077034,2.1009776477248208,3.6322682154995127,2.5310694927259543,6.663771557482411,3.5447326559326235,4.032982416699428,3.2433644256936605,7.455738185993392,6.167317780946596,5.515384460636948,0.722466024471091,4.272769732436511,10.488040952288788,1.8155754288625725,1.599317793698226,7.757156625608085,0.6229303509201767,8.045268215138533,3.507160349117523,5.3466023752989855,5.699051844016849,5.747655932932393,3.3936907641874536,5.521050736900963,4.926473911256073,5.286511557664227,5.771093251699539,0.01435529297707,6.955591791753994,7.591933685085199,4.03121873061072,6.875657212551882,4.506525779043123,2.8196681834964554,5.993447932331477,3.4982508675278257,11.068173670150529,5.800899899920305,4.474436043252266,3.51096191927738,5.181897643108388,2.933572638261024,1.9708536543404835,5.03738222200308,2.6016965164809576,6.083851587697961,0.0,6.5402443021342735,2.8439838440483265,6.915520900751958,5.12267271882414,4.718087583960517,7.332886916959597,0.0285691521967709,4.733354340613827,7.048977225226046,0.01435529297707,6.278728212938939
ACH-000619,4.955591791753994,1.0071955014042038,0.5753123306874368,4.278728212938939,3.9945797242157473,7.104860799708199,3.969933274697856,0.4541758931858021,8.189231548647284,4.715893370547605,7.03199060858887,1.0496307677246008,5.199672344836364,5.065227622775619,5.340562269026414,3.2141248053528475,3.6915341649192,3.811471030529836,6.8939688694671,2.8155754288625725,3.8011586560936985,3.405992359675837,6.5530532527664125,5.279099802133753,5.140369670651527,2.84197311892718,3.9001422603598166,10.225448468610738,2.6484654430273142,1.063502942306158,7.058532970201611,2.032100843167024,7.803227036434928,3.097610796626422,4.551516017628014,4.939226577728209,5.887037791419196,0.1763227726404629,4.976363635732762,3.948600847493356,5.44857062600553,5.462052318796433,0.01435529297707,6.325530331567558,6.6742629002007705,3.5372960670908418,6.397631854106743,4.046141781644721,2.073820233291672,4.915042791371977,4.561937059622433,10.589182967039353,4.7300964655954685,5.309612772454123,3.0617761975866897,4.937344392150233,2.9011082430145123,1.9708536543404835,4.812498225333564,1.765534746362977,5.404290064444837,0.0285691521967709,5.623515741490549,2.263034405833794,6.235727059838059,5.23687524536694,4.751677945687579,6.759555343206311,0.1763227726404629,6.195938100427832,7.657497100444111,0.01435529297707,5.734167661150761
ACH-000647,6.253611151947168,1.655351828612554,0.2986583155645151,2.657640005207824,4.959770155211468,8.080817527608327,5.1626934322112366,1.722466024471091,8.698010061537433,4.63575439127776,8.334854269331633,3.926948247949772,5.468583317006828,4.888499735514123,5.494415610397496,1.819668183496456,4.509062386361898,6.505573400282018,7.458857705335254,4.05484847699562,4.23342794374847,4.509695841933388,7.153400027735061,5.816599706534912,5.057016965365539,3.4356285940520905,3.396433531250992,10.332260378172183,2.090853430451113,3.00539998774259,7.014690037951128,0.5058909297299572,8.615298579092116,3.286881147788161,5.241840183564671,7.632922515461243,6.090853430451113,0.0565835283663675,5.311430455749743,4.690975738343275,6.238022517825721,7.175025519533409,0.0,6.966707314150316,5.626731150672787,3.959770155211468,7.49545533300987,6.071247819461442,5.69181329717138,2.7398481026993275,4.119356177039675,12.318627538716632,5.56346323668308,6.73903797911741,5.295355692891673,4.310340120612151,3.422233000683048,3.884597920990065,6.557348817524803,3.097610796626422,5.853995647176394,0.0,7.109151579170521,4.100977647724821,6.79960542245267,6.31124879044183,5.211790976252541,7.894878379473196,0.01435529297707,6.871104373555458,6.943218087426284,0.0426443374084937,4.717539343391165
ACH-000231,5.469885976274464,1.989139007368233,0.6780719051126377,4.10936055940423,4.807870078299782,9.381802483168777,4.772941337831336,3.0143552929770703,9.857374562661448,0.7739963251111731,8.959683229289373,3.3603642765434705,4.118525848935668,6.273515889702116,3.300123724569014,4.899175630480513,3.950468414150123,2.405992359675837,6.32876467228402,4.647890091059215,5.138732569720239,6.349259109904453,7.7136958148433585,5.28318097894557,4.910732661902912,2.7092906357233577,5.77663042305105,12.022853253717834,1.7311832415722,2.5185351389821804,8.323189901088398,2.8257856274647914,7.693626341591109,3.572889668420581,6.0259146987507926,5.727103603522661,5.830103175920036,5.729552770453971,5.763145958149476,3.618238655595455,3.665620164066381,7.356231862655397,0.01435529297707,8.142617655446577,5.689299160535892,3.9900472195737935,7.7869230221527905,4.4121040446775694,3.980025300238734,0.2868811477881615,5.255878352582786,12.7652239301173,5.0574502721839,6.39694722007283,4.59395128394841,4.88508622529017,3.63575439127776,2.0669502439246266,5.854494418154875,2.805292455600712,4.878725341480106,0.137503523749935,7.39771741052135,6.1224656581792365,6.233044401265581,5.325890061039784,3.93451650158608,8.468664767679588,1.3219280948873624,7.316145742293356,1.7311832415722,0.0285691521967709,3.257010618206024
ACH-000837,5.79025073883523,0.765534746362977,0.3334237337251918,2.341985747228616,4.66732447027863,7.574404309022579,4.040015678847879,2.485426827170241,8.244887059123535,4.804260115634738,8.180307019969433,0.8399595874895318,5.317593504623472,5.2539892662307865,0.7048719644563528,3.647314509547136,2.881664619320345,4.032100843167024,6.577428828035749,2.5993177936982264,3.989139007368233,2.451540833017832,7.354646096085384,6.459267666703387,4.9740703670240265,0.2868811477881615,4.654206377944292,10.321589923606158,0.9411063109464316,0.0285691521967709,7.998985248258895,0.6040713236688608,7.658711339973922,3.9411063109464313,6.018589667805939,5.241840183564671,5.236109889889632,4.064365540263628,5.2712762591759255,4.601102203376409,5.237640195035385,5.793375711264754,0.070389327891398,7.651410525912998,6.298291730620124,3.320484678017693,7.082894152617435,5.144454313926194,3.2203299548795554,5.166313747889934,2.908812907739547,12.082614780988798,5.997744026059632,5.246788093844365,4.228049047884462,5.888012585402829,2.625270489374693,0.903038270112912,4.897724470216444,2.485426827170241,5.634593268445757,0.1763227726404629,6.2268938135713885,2.563158130402808,6.975332115897913,5.0522419811811385,5.352617298958503,7.199574198978244,0.0426443374084937,4.928844036712568,8.442072641229416,0.0426443374084937,5.043081981895663
