,GAL3ST1 (9514),SGPP2 (130367),GLB1 (2720),GALC (2581),SGMS2 (166929),GBA (2629),SPHK2 (56848),NEU2 (4759),PLPP3 (8613),NEU1 (4758),ACER2 (340485),UGCG (7357),DEGS2 (123099),ARSA (410),SPHK1 (8877),SGPL1 (8879),NEU3 (10825),SMPD4 (55627),SGMS1 (259230),ACER3 (55331),CERK (64781),SMPD2 (6610),ENPP7 (339221),DEGS1 (8560),SGPP1 (81537),NEU4 (129807),GLA (2717),ACER1 (125981),PLPP1 (8611),ASAH1 (427),PLPP2 (8612),SMPD1 (6609),B4GALT6 (9331),SPTLC2 (9517),SPTLC1 (10558),SMPD3 (55512),KDSR (2531),UGT8 (7368),ASAH2 (56624)
ACH-000694,0.2016338611696504,2.111031312388744,3.819668183496456,0.722466024471091,3.865918814552213,5.223036337901875,2.983677694698067,0.0840642647884745,2.57773093149008,4.199279721336625,2.1858665453113337,4.355439197248685,2.558267634055736,4.23342794374847,2.568032104771279,4.416839741912829,1.7782085763980875,5.236492618381302,4.559491813205038,1.82781902461732,4.101818134227409,3.4356285940520905,0.0,5.078097423026661,4.683134985126093,0.070389327891398,5.083213368248981,0.2141248053528473,2.6507645591169022,6.14425035619052,5.819412726206565,2.451540833017832,0.9781956296816516,4.084064264788474,6.496654082593496,0.632268215499513,4.39780296186249,4.3125199674749455,1.0840642647884746
ACH-000619,0.1634987322828795,0.5558161550616396,4.983221650742669,3.316145742293356,2.6848187375532224,6.0522419811811385,3.0089887832272546,0.0,2.7092906357233577,5.731454807698346,2.6182386555954547,5.4121040446775694,0.4750848829487828,4.886062338345599,3.868884273028773,3.2735158897021166,2.176322772640463,5.514122260170708,2.944858445807539,3.104336659814736,3.1731274334806563,3.1127001327493624,0.0,5.04176864995163,4.278728212938939,0.0,5.320484678017694,0.0,3.910732661902913,5.678916986679839,5.7216460784183925,3.794935662803536,0.9411063109464316,4.393004256898322,6.725604841008892,0.6135316529179271,4.37851162325373,2.389566811762726,0.84799690655495
ACH-000647,0.3103401206121505,0.7570232465074596,6.170926525287385,4.161887682376894,3.907852071845964,7.581049900945041,3.0789513413948217,0.0840642647884745,3.363171077119244,6.216066783087033,0.879705766282288,6.651051691178928,0.7398481026993274,2.9049657186840263,4.597531174224212,5.424922088210688,4.085764553778314,5.607626220845488,4.669026765509631,5.208673319629471,4.2720231890610485,2.786596361890807,0.01435529297707,6.915759896038,4.282439805006387,1.0071955014042038,5.874796965898665,0.0565835283663675,3.423578170981797,6.07724299893246,5.568336182133747,2.666756591884804,2.3305584000308026,4.124328135002202,6.411256746220791,0.2986583155645151,3.676944359106912,0.0426443374084937,2.3950627995175777
ACH-000231,0.070389327891398,0.5945485495503542,6.455984709225996,3.3088850574117634,2.51096191927738,6.0925457415435655,4.093391153253013,0.0,3.6599245584023774,6.111031312388744,0.5655971758542251,6.182096347749001,0.0565835283663675,4.836429131161648,4.1969217338203295,4.657640005207824,2.3757345385831563,5.255123014847789,3.9354597478052895,3.144046369616707,4.277240898332067,2.55581615506164,0.0,6.613531652917927,3.643856189774725,0.070389327891398,5.676662334857967,0.0,4.910252962799278,6.60229058486114,4.644433152406245,5.478324711485028,3.4154882710497003,3.951401291674311,6.166514610409004,0.7570232465074596,4.79960542245267,0.1505596765753814,2.0531113364595623
ACH-000837,0.4750848829487828,1.3448284969974411,4.990954860396993,3.655351828612554,3.948600847493356,5.915998851738901,3.232660756790275,0.2265085298086797,2.613531652917927,5.008092420948722,0.933572638261024,4.133399125417198,0.1243281350022017,2.563158130402808,4.1945598860226125,4.324810603420484,2.859969548221026,5.4087118610294285,4.237257770900372,4.23112515787905,4.144862142915734,3.759155833800272,0.0,5.726558779104974,4.058316495590823,0.0,5.767919585801803,0.01435529297707,2.821710215034674,5.532316959332765,6.871720462321232,2.84799690655495,3.169925001442312,3.526068811667588,6.203396948546115,0.4750848829487828,4.507160349117523,0.4541758931858021,1.1505596765753812
