,EFTUD2 (9343),LSM5 (23658),SF3A1 (10291),HNRNPA1L2 (144983),SF3B2 (10992),PRPF19 (27339),SNRNP27 (11017),HNRNPA3 (220988),LSM6 (11157),USP39 (10713),DDX42 (11325),NCBP1 (4686),SF3B1 (23451),MAGOH (4116),CDC40 (51362),SF3B3 (23450),SRSF9 (8683),ACIN1 (22985),TXNL4A (10907),TCERG1 (10915),U2AF2 (11338),RBM17 (84991),PRPF38B (55119),THOC1 (9984),PLRG1 (5356),CCDC12 (151903),MAGOHB (55110),HSPA8 (3312),LSM7 (51690),CHERP (10523),LSM8 (51691),PQBP1 (10084),RBMX (27316),LSM4 (25804),EIF4A3 (9775),SF3A3 (10946),DDX46 (9879),RBM25 (58517),PRPF40A (55660),THOC3 (84321),SNU13 (4809),PRPF40B (25766),LSM2 (57819),SRSF8 (10929),SF3A2 (8175),SMNDC1 (10285),BCAS2 (10286),NCBP2 (22916),PRPF8 (10594),ALYREF (10189),DDX39B (7919),CWC15 (51503),DDX23 (9416),PRPF18 (8559),CDC5L (988),SF3B5 (83443),SNRNP40 (9410),PRPF31 (26121),SNW1 (22938),DHX15 (1665),WBP11 (51729),HNRNPU (3192),CTNNBL1 (56259),HNRNPK (3190),TRA2A (29896),SNRNP200 (23020),HSPA1L (3305),HSPA1B (3304),RBM22 (55696),HSPA2 (3306),HSPA1A (3303),ZMAT2 (153527),PRPF6 (24148),DHX16 (8449),U2AF1 (7307),PRPF38A (84950),HNRNPC (3183),DDX5 (1655),DHX8 (1659),HSPA6 (3310),DHX38 (9785),ISY1 (57461),XAB2 (56949),SNRPG (6637),SNRPE (6635),SNRPF (6636),SNRPD2 (6633),SNRPD3 (6634),SART1 (9092),SYF2 (25949),CRNKL1 (51340),U2SURP (23350),HNRNPA1 (3178),PRPF3 (9129),AQR (9716),PRPF4 (9128),LSM3 (27258),SF3B4 (10262),PPIH (10465),SLU7 (10569),BUD31 (8896),PHF5A (84844),SRSF10 (10772),SRSF6 (6431),SNRPA (6626),RBM8A (9939),SRSF7 (6432),SNRPA1 (6627),HNRNPM (4670),SNRPB (6628),TRA2B (6434),SNRPB2 (6629),PUF60 (22827),SRSF5 (6430),SNRNP70 (6625),PCBP1 (5093),PPIL1 (51645),SF3B6 (51639),SRSF4 (6429),SRSF3 (6428),SNRPD1 (6632),THOC2 (57187),SNRPC (6631),PPIE (10450),SRSF2 (6427),SRSF1 (6426)
ACH-000694,6.351204277257994,6.350320435387008,5.444932048942182,3.261530815243406,7.092862828992929,6.930619079024282,4.928844036712568,8.355571338397745,5.853995647176394,6.158256228811341,6.554588851677638,4.874796965898665,6.796104520532145,6.886793989975289,3.5285713188707577,6.912530114323083,7.262282806420655,7.28290308333826,5.420549772116318,6.066735028732031,7.401818163087643,5.995032192477536,5.089159131911238,5.350143602017798,5.487357715311548,5.885330315476167,4.707635219545296,9.996897125512335,7.216260837165056,4.654206377944292,4.706530552538117,6.778734244117836,7.537684337147519,7.3616806442623615,7.5437278590458705,5.910252962799278,5.652773284510777,6.146695948030656,5.851499202461257,7.263410058756341,6.926592510051067,3.144046369616707,5.581049900945041,4.181102550753798,5.814806743093093,4.657640005207824,4.7527485914071335,6.387328072366118,7.446256229889564,6.988911864954021,8.693730870823327,4.9804823555382605,6.404800963951169,3.775050541483175,3.851998837112446,6.993447932331477,5.741736623826638,6.025028794491522,6.372603915204483,6.206135253404591,5.080231272019264,8.271743135669722,5.7998644108818525,9.058099988493412,6.247547806890298,6.700717132821476,1.0071955014042038,8.057991722759176,5.107687869314374,5.55581615506164,8.700959826915897,7.059398543973422,6.221877081077034,5.242221395098369,6.293701542080735,4.821199978056451,9.4681556255146,9.130622040746625,5.015693807105145,0.3219280948873623,5.940871478189196,5.607922067261143,5.632849830117706,7.827692021224404,7.650836347490062,6.379031732028535,8.25950789456702,8.33404976759958,5.5668151540108965,5.81326814176608,3.6403895600549454,6.682011390800693,10.56424477713222,5.107269393592545,4.503348735167505,5.18308946064076,3.678071905112638,5.657354181523702,6.049195105622275,5.5906618959652645,6.263785613890803,6.224001674198105,6.840085515568946,6.918266959092563,5.999098033705607,7.612721087968251,7.7311832415722,6.651482282150902,8.622710768203806,7.752949249054722,7.256444596473442,5.632849830117706,6.965553434987078,8.865640490052288,7.44716589977438,8.112804369954775,5.36702153323231,7.121015400961366,6.424754167004552,8.813268141766079,7.03121873061072,5.577428828035749,7.572889668420581,5.672990993827748,8.176871259537691,7.62928375485366
ACH-000619,5.912649864897204,6.176921111644362,4.813011548605618,3.125981653854716,7.206526015877427,5.934044647112246,4.730639955916791,7.847621155793381,5.798050514767515,5.330199832850905,6.060479781407595,4.0916998341368105,6.774128144293584,6.367196310025896,3.1984941536390834,6.486553492624526,6.777156666004501,6.71259578044703,4.517905553529951,5.523561956057013,7.2543672814408335,6.239168878665448,5.315783574589461,4.780310099043375,4.292045492492862,4.71918344048179,4.642123916153487,9.31707338226096,6.488000770834068,3.990954860396993,4.860466258517167,5.85049941375812,6.941458488426733,6.96970308801354,6.15704371014558,5.413120146403495,4.968551603363945,5.621172752683435,5.727103603522661,5.808642467918064,6.527789751572327,3.8011586560936985,5.324810603420484,3.576522137920503,5.131754090984813,3.84799690655495,4.906409617094015,6.021479727410452,6.445594291341182,6.114991613333596,8.135965742427338,4.616475328782878,5.843481425432457,3.476381687567235,3.3476656563009706,6.300306796080063,5.081510068120917,5.726831217032493,5.844988156682612,6.354028938054387,4.512226886513957,7.545427874823704,5.630813152299126,8.534536340846783,5.966937979278457,6.06177619758669,0.903038270112912,6.955010505215292,4.412781525338476,3.880685525261125,6.936048963676615,6.40667271575583,5.604960869503778,4.731726322715782,5.522934560943456,4.341274183692175,8.426935619648336,8.45532722030456,4.398487190018967,0.5260688116675876,5.338067797542616,4.536052900240209,4.83035674741922,7.208185576617662,6.634883636775385,5.588264894307497,8.62428370632177,7.46532151358055,5.522306892871389,5.2645364309990255,3.787641414483326,6.667750232430426,9.721389749678863,5.034303767768035,3.5223068928713888,4.499527024215096,4.075532631167357,5.366322214245816,5.346956889378885,4.992768430768924,6.915520900751958,5.552131108253784,6.508428652531857,6.202025844609336,6.577579887670554,6.851624127346895,7.163398094353162,5.978195629681651,7.526616606162316,8.19981955110565,6.9804823555382605,5.930264245235024,6.170726276131552,8.135196236653442,7.171126746652066,7.157144792299476,4.589763486984977,6.561326136453918,5.861459166361513,7.977909533930245,6.677085350559835,5.298658315564516,6.683275372908121,5.090853430451113,7.671081029288617,6.951168128838912
ACH-000647,6.953381655802552,8.031439309319335,6.118941072723508,3.842978831788325,6.990728003718974,6.640100297890389,5.7051485282530185,8.18477618520242,6.9478998862482655,7.099821178692243,6.295539370406834,5.269781238274379,6.600358967544769,7.761750669586132,3.9541963103868754,6.291308859828971,7.90430344864841,6.888134388352869,5.336283387864432,5.577126661307052,7.378078055995504,6.636044526028037,5.671010241278451,6.983335675247047,5.23035674505615,5.509695841933388,5.656210320182599,10.786759701267249,7.088205213838942,5.218781167784069,5.598722499676621,6.106850796450224,7.460496852294391,7.862513382733514,7.023255352300303,6.981966786040949,5.985728110419125,6.335747634299735,6.042425465369708,6.174326515173915,7.085233428697438,3.2809563138310565,6.139755975481314,3.940166750482817,5.358958825832329,4.656496370553495,6.527633387290932,5.956521363333119,7.037821465434967,7.089053172156434,8.500523236770313,5.739848102699328,6.198690585668918,4.753283616460879,4.767654798237347,6.4830095771645455,5.738497643889787,6.604071323668861,6.480426705191877,6.220716891998917,5.656496370553495,8.467768557262527,5.939226577728209,9.259531433207446,7.406247530806571,6.788555214928864,1.0356239097307212,6.904002316283692,5.170325694415555,6.413797150189212,7.28715827825949,6.468094516378439,6.732404886784963,5.6604951318885135,7.112387375937597,5.350143602017798,9.259672656985504,8.57406365350374,4.888012585402829,0.9486008474933558,5.099715999160909,4.97223312380739,4.60821785302146,8.242221395098369,7.757423346821803,6.195150710564713,8.812690742964909,9.566434646283282,5.053545817727984,5.056149961108142,3.6507645591169022,6.530601414516833,10.06420384242763,6.320484678017694,4.068670810665099,5.63023071585969,5.589463892956097,6.6464507064831775,6.386983342366655,5.020591094773247,7.116551902293016,6.033863451866284,7.345183447187665,7.108001646465911,6.549207089355683,7.877314812517378,8.171176797651771,6.978882028096418,8.423452114533461,8.119459934459325,7.316236270015338,6.20006486151431,7.277891787150186,7.889047582839033,7.652701592457149,7.7862696276484655,5.825022364044702,9.425425734590698,6.101187815259738,8.94798752503139,6.776893568522074,6.099084760891864,8.34002810238993,6.220716891998917,7.786988345330493,7.429281193335658
ACH-000231,6.335569005556748,6.227856573060497,4.943921326553485,3.4475791965488827,6.779391059535914,6.2106226443969055,5.36667191611176,8.071301458226378,5.767919585801803,5.593353770980297,6.081936081719432,5.035183996618336,6.634738459915802,7.14394436551295,4.119356177039675,7.507081043120698,7.521678951603199,7.133090824306742,6.254178286216762,6.293885430302371,7.978538869710446,6.362820525534263,5.793115555274348,5.663629258814752,5.60229058486114,5.987775616142913,5.4269356196483365,10.14491311343424,7.456641898642161,4.981396031972149,5.897966431649445,7.317503062029273,8.132114102582719,6.626439136697315,6.07724299893246,6.772413554748482,6.215872702903665,6.121637118290914,5.836681593327116,5.474436043252266,6.293701542080735,2.859969548221026,6.203201156316611,4.4154882710497,6.31124879044183,4.960697039304312,6.359837392963122,6.055065472565087,6.720004786954807,6.64400045206582,9.16543464540652,5.43229133824778,6.505255800932163,3.896271848807375,4.659353759170051,7.664767255356415,6.217424613813984,6.612205036694897,6.049195105622275,6.543495883425772,5.155020578358575,8.58391015187168,5.262658655072225,9.502931228279657,6.18824265626441,6.544732655932624,0.6870606883398922,6.785681319474753,5.359661722333877,3.4828482830684653,5.992541859109112,6.666046429408791,5.857980995127572,5.747924416238441,6.980368105287487,5.415826257472914,9.606479242615745,9.131162448259898,4.72137265947682,0.5753123306874368,6.002927502063069,5.442611803689344,4.953730849811491,7.514516816454006,7.623954628592516,6.491692787974502,9.2823007924921,7.898450232807866,4.783980413683795,6.231317197152663,3.399171093819823,6.679480099505446,10.84603879794402,5.876762490781555,4.569855608330948,5.299024807384316,4.7713574089905615,6.140778655782796,6.824386002585445,5.998195503153252,7.09887428674445,5.88410945135923,7.429030064197383,6.642412772905056,6.465811254476078,8.002815015607053,7.509616675195864,6.986183362881372,8.456477629351816,7.750472518762509,7.52097219082549,6.20124177119825,6.868884273028773,8.65223550724996,8.191552781091683,7.117591158238323,5.51853513898218,7.028348134189309,7.113742166049188,8.8369655604653,7.020146573111776,6.763809907280293,8.142923927614353,5.810700154187216,7.73978060977326,7.464586590379826
ACH-000837,6.345715708784144,7.051154549878513,5.898933871780176,2.75702324650746,7.890933021705543,7.145473670317708,5.844737144060685,8.1355040882175,6.328944145449754,6.166514610409004,5.975676037797327,4.334139178838237,6.522306892871389,6.623223075896505,3.286881147788161,7.458857705335254,7.91707366287822,7.195642879586949,6.325350433189509,5.627898615871748,7.483896372501332,5.38646609286931,5.130930869826448,4.864433796365624,6.17572418538028,5.76394266044725,6.034963989749303,10.61710008687589,6.935931139752267,4.80683958179819,3.753818443173543,6.8562387598970815,7.219942913954125,7.718772591827187,6.310703657225108,6.345183447187665,5.472487771462744,6.079378111118652,5.979568100095187,5.924575003392735,7.114991613333596,3.4581194811745064,5.544114402209474,5.020591094773247,5.403267722339301,5.402585758232587,5.4886435398537845,6.316869805064333,6.874796965898665,7.404971223589166,8.323730337521347,5.771093251699539,5.993674361750585,3.654206377944292,3.694880192799191,6.658639942401795,5.9342805936400245,5.949067965852913,6.354028938054387,7.990047219573794,7.012903833230638,8.225111013000083,7.291400959483692,9.018255826536166,6.254745197629213,6.645442282128751,1.541019153133559,7.323009710612814,5.04220656012069,3.158660175346498,7.567195561406875,6.268284666520996,6.36964096451698,5.091276694365222,6.177120502846516,5.053111336459563,9.447434556145351,8.261859859614974,3.996388746447621,2.881664619320345,6.417008586788777,4.3377110921282895,4.773996325111173,8.160779041053011,7.888073488163287,6.293701542080735,8.513727595952437,7.776696213918695,5.917431755390104,5.157852169141737,3.626439136697315,6.494415610397496,9.818789859492274,5.701826258412055,4.521050736900963,4.956521363333119,4.60229058486114,6.493775408460703,5.869624686204322,4.371558862611963,7.060371694122218,6.335032986586849,6.608069967721664,6.961507574683088,6.108315355387719,8.344562227033126,7.826929765989576,8.524424179083942,8.252239656336979,7.24193549589192,7.539779191698494,6.081723090644876,7.932746250996808,8.466056062594692,7.437710465522034,8.335301020965861,5.278356528010724,7.817942968325125,5.9902741833186015,8.62541662207078,7.336640446408735,5.003152448666922,7.420381341196637,5.642123916153487,7.590661895965264,7.709290635723358
