,PDHB (5162),VARS2 (57176),IARS2 (55699),PDHA1 (5160),PDHA2 (5161),LARS1 (51520),LARS2 (23395),VARS1 (7407),BCAT1 (586),BCAT2 (587),IARS1 (3376)
ACH-000694,5.26566192452189,4.06177619758669,6.539313931267408,7.948191994824227,0.0,5.6959938131099,3.3673710656485296,5.399854673572431,4.067810783789621,5.110196177754199,6.143230134776893
ACH-000619,4.3729520979118295,3.4449320489421824,5.637494325206311,6.8963929564708994,0.0,4.842978831788326,2.636914580355878,4.809928865721431,0.8073549220576041,5.274634402517586,6.073177559716166
ACH-000647,6.028127082317139,4.875780063068488,6.740657771623893,7.16400181665555,0.0,5.737145919776202,3.997292407636508,6.323009710612814,0.2868811477881615,5.925049964727359,6.847871667174613
ACH-000231,6.274261661257048,4.860962797858116,5.953963598870782,7.81082866218542,0.0,6.383877059978108,4.056583528366367,6.00786824333334,5.317593504623472,5.404290064444837,6.307428525192248
ACH-000837,5.696272083925863,4.643856189774724,6.884597920990064,6.748863714535698,0.0,6.04023491675437,3.782408564927373,6.505732173741804,3.877744249949002,4.460742563789644,6.280770770130602
