,SULT1E1 (6783),PAPSS1 (9061),SULT1A4 (445329),SULT1A3 (6818),PAPSS2 (9060),CHST11 (50515),SULT1A1 (6817),SULT2B1 (6820),SUOX (6821),BPNT1 (10380),CHST13 (166012),SULT1A2 (6799),CHST12 (55501)
ACH-000694,3.475084882948783,5.108524456778169,5.569248029867182,4.339137384919585,2.3103401206121505,2.1176950426697547,3.554588851677637,5.436295119839363,3.720278465233327,5.135452784185173,0.070389327891398,1.3504972470841332,4.039138393906958
ACH-000619,0.01435529297707,4.1034976397033365,3.906890595608519,5.107269393592545,5.690975738343275,3.5084286525318573,4.085764553778314,2.104336659814736,3.471187460386985,4.088311235888661,0.1634987322828795,1.4436066514756147,3.476381687567235
ACH-000647,0.2750070474998698,4.820178962415188,3.377123749129487,2.2357270598380583,3.15704371014558,4.671293372481576,2.485426827170241,1.1763227726404628,4.047014819517589,4.682573297347578,0.5753123306874368,1.918386234446348,4.718087583960517
ACH-000231,0.0,5.786073551578548,1.516015147003665,4.489928219405183,5.490890978894291,4.705425039042727,1.0285691521967708,0.2265085298086797,3.2203299548795554,4.687620632084895,0.0285691521967709,0.3219280948873623,4.0522419811811385
ACH-000837,0.2750070474998698,4.320484678017694,4.693208148910016,2.835924074254375,2.563158130402808,5.248686626873828,0.1110313123887439,5.538538163629804,3.2357270598380583,4.509695841933388,0.0285691521967709,0.0285691521967709,4.044394119358453
