,SRM (6723),GGT1 (2678),GSTP1 (2950),GSTZ1 (2954),RRM2B (50484),SMS (6611),PGD (5226),GSTO1 (9446),GSTA5 (221357),MGST2 (4258),LAP3 (51056),MGST1 (4257),MGST3 (4259),GSTA3 (2940),GSTM1 (2944),GPX7 (2882),GSTA4 (2941),GPX6 (257202),GSTM4 (2948),GGCT (79017),GSTM3 (2947),GSTM2 (2946),GSTM5 (2949),GSTA1 (2938),GSTA2 (2939),GSR (2936),GSS (2937),RRM1 (6240),RRM2 (6241),GCLC (2729),GSTK1 (373156),GPX5 (2880),TXNDC12 (51060),GPX1 (2876),GPX2 (2877),GPX3 (2878),IDH2 (3418),GPX4 (2879),IDH1 (3417),OPLAH (26873),GCLM (2730),GGT6 (124975),ANPEP (290),GGT7 (2686),GSTO2 (119391),GGT5 (2687),G6PD (2539),ODC1 (4953)
ACH-000694,5.447579196548882,2.6229303509201767,11.874520349074716,5.897482468196102,1.790772037862,6.497452695977238,7.301313274348237,6.469885976274464,0.0,7.075425665826001,4.434294617959925,8.12861303870471,6.185271905593818,0.0,0.1110313123887439,0.0565835283663675,3.6959938131099,0.0,2.056583528366368,7.120704441796267,4.393690764187454,0.8953026213333066,0.0,0.6780719051126377,0.137503523749935,5.573192723781613,5.7636771418966,6.314877757368213,6.514122260170708,6.538382960032119,5.939931764727612,0.0,5.3026846141183785,6.068240861312821,8.968839560699264,5.740118042833128,4.218006150284427,6.601993581248998,6.599764103072517,2.646162657157894,4.259272487037594,4.471837762422287,0.5160151470036647,2.0942360698457656,3.534808661231747,0.0285691521967709,7.324090516037983,5.474436043252266
ACH-000619,4.899175630480513,4.244887059123535,10.047260266260045,4.245647773636751,2.875780063068488,6.33646192818282,6.001351892999959,5.964398632203184,0.0,5.273515889702116,5.839455765224628,1.0565835283663676,6.2671612180222604,0.0,0.0,1.6644828403646823,2.5801454844233804,0.0,2.405992359675837,6.325890061039784,4.275752048828529,1.0071955014042038,0.2016338611696504,0.0,0.0,5.431622959713292,5.497293008662791,5.757556688939453,5.861211003457162,4.543495883425772,6.39780296186249,0.0,5.27015513876653,7.171126746652066,5.37608196665007,0.4956951626240688,5.184280294419382,8.155223019254281,6.035843815994525,3.759155833800272,3.1243281350022016,2.3015876466031866,1.7180875839605168,3.613531652917927,3.2357270598380583,0.01435529297707,6.0710332444568245,5.007195501404204
ACH-000647,7.015916772106885,3.082361969557473,9.86834414876462,4.364572432295856,3.670160514126634,6.853746197008764,6.862079386929462,6.182890892745479,0.0,4.864928972289788,4.614120868789254,8.12391445900198,5.921721947009604,0.0,5.864433796365624,2.5360529002402097,0.925999418556223,0.0,2.57773093149008,7.66013854990472,6.998082647124651,2.1210154009613658,0.0426443374084937,0.0285691521967709,0.0,5.51317488460363,6.45466943160474,5.876025732722702,7.397203995910633,4.922673592849446,6.47864829453918,0.0,5.204375511319093,7.814165858607901,0.4854268271702416,7.077883864438322,6.638653116466112,7.713145902490259,4.979110755015785,2.877744249949002,5.024142345897803,0.070389327891398,4.5915597458278015,2.596935142387232,4.73226919950145,3.368768349090334,6.914684105328389,5.829342193902803
ACH-000231,7.115511897172365,2.003602236680196,8.634339148207905,3.700439718141092,3.493134922305505,8.65617455989802,7.700647784152205,7.035623909730721,0.0,4.54101915313356,6.7348450781894975,4.513490745588118,6.280585202564472,0.0,0.0,3.873813198359087,3.583759753639499,0.0,4.259272487037594,5.964398632203184,6.997856908579222,4.056583528366367,0.137503523749935,2.689299160535892,0.8318772411916731,4.167518503735217,5.222650022451478,5.989593184938768,6.744699314207836,3.842978831788325,6.223036337901875,0.0,5.931210274803932,7.249255699936582,0.5360529002402097,3.286881147788161,6.870118083965933,8.03842520687726,5.550900664647523,0.1890338243900171,4.795455272044121,0.01435529297707,4.130107178658833,3.670160514126634,0.8237493603082727,0.0840642647884745,7.143128072943813,6.553974808237472
ACH-000837,6.588114949388078,1.5008020530571575,1.8639384504239715,2.666756591884804,3.353323291162897,6.883620816285672,7.928488766025555,5.776103988073165,0.0,5.066089190457772,7.049086169537284,9.370513052460412,7.005063080013454,0.0,0.2016338611696504,0.1110313123887439,0.4005379295837288,0.0,0.7048719644563528,6.932391940068527,0.2750070474998698,0.2750070474998698,0.0,0.0,0.0,5.8529975876133165,5.9354597478052895,6.056583528366367,7.626074036090307,7.234482160120472,4.007195501404204,0.0,5.023698917266407,1.1176950426697545,2.918386234446348,2.7441610955704103,5.759688488427289,8.058532970201611,4.982765462583646,0.4329594072761063,5.053111336459563,0.0840642647884745,0.3103401206121505,0.5260688116675876,4.210232990095849,2.229587922740652,7.921662448296702,6.331812683819207
