,GGT7 (2686),CSAD (51380),GGT5 (2687),GGT1 (2678),GAD1 (2571),BAAT (570),GAD2 (2572),GGT6 (124975),CDO1 (1036),ADO (84890)
ACH-000694,2.0942360698457656,4.24031432933371,0.0285691521967709,2.6229303509201767,2.454175893185802,0.01435529297707,0.0426443374084937,4.471837762422287,0.0426443374084937,3.2675357980687347
ACH-000619,3.613531652917927,4.040015678847879,0.01435529297707,4.244887059123535,2.0461417816447205,0.01435529297707,0.0,2.3015876466031866,0.0426443374084937,2.422233000683048
ACH-000647,2.596935142387232,3.475084882948783,3.368768349090334,3.082361969557473,4.351910961103077,0.137503523749935,0.1505596765753814,0.070389327891398,1.5897634869849773,4.181102550753798
ACH-000231,3.670160514126634,4.785550551739256,0.0840642647884745,2.003602236680196,4.266786540694901,0.2265085298086797,0.0,0.01435529297707,0.3448284969974411,3.948600847493356
ACH-000837,0.5260688116675876,3.4475791965488827,2.229587922740652,1.5008020530571575,3.513490745588118,0.1505596765753814,0.0,0.0840642647884745,0.0976107966264223,3.10936055940423
