,B3GNT4 (79369),B3GNT2 (10678),ST3GAL6 (10402),B4GALT1 (2683),B3GNT5 (84002),FUT9 (10690),FUT7 (2529),FUT6 (2528),FUT5 (2527),FUT4 (2526),FUT3 (2525),FUT2 (2524),FUT1 (2523),B4GAT1 (11041),GCNT2 (2651),B3GNT3 (10331),B3GALT5 (10317),ABO (28),B4GALT3 (8703),B4GALT2 (8704),ST3GAL4 (6484),B4GALT4 (8702),ST3GAL3 (6487),B3GALT2 (8707),B3GALT1 (8708),ST8SIA1 (6489)
ACH-000694,0.8559896973084807,3.321928094887362,1.0426443374084935,5.213347281733441,4.38404980679516,0.0285691521967709,0.0426443374084937,0.2509615735332188,0.0,1.263034405833794,4.12267271882414,4.491211756003092,2.3015876466031866,2.8196681834964554,3.782408564927373,2.849999259466098,0.1634987322828795,4.9354597478052895,4.531069492725954,4.345538310070007,4.651912744645783,6.894817763307944,2.3950627995175777,0.0976107966264223,0.0285691521967709,1.5753123306874368
ACH-000619,1.097610796626422,4.024142345897803,0.6599245584023783,5.242221395098369,4.804776377955828,0.01435529297707,0.01435529297707,0.5849625007211562,0.0,1.280956313831056,2.560714954474479,2.1076878693143737,1.956056652412403,4.088311235888661,0.1243281350022017,5.3788583832700345,0.3448284969974411,0.6780719051126377,4.783980413683795,4.687620632084895,5.261530815243406,5.597531174224212,2.280956313831056,0.01435529297707,0.0285691521967709,0.1110313123887439
ACH-000647,1.922197848396367,4.6904170955324656,1.510961919277379,6.2193621578077165,2.9873208659292536,0.01435529297707,0.0285691521967709,0.1505596765753814,0.0,1.925999418556223,3.097610796626422,1.0356239097307212,2.488000770834068,3.671293372481576,1.2750070474998698,2.957914598632985,0.1763227726404629,0.01435529297707,6.159467729266766,5.279471295644468,5.076815597050831,5.113117036390723,2.8698714061777126,0.0426443374084937,0.0,0.2630344058337938
ACH-000231,0.8237493603082727,3.7311832415722,2.056583528366368,6.864928972289788,3.003602236680196,0.0,0.0840642647884745,0.0,0.0,1.0840642647884746,0.070389327891398,0.8559896973084807,0.5058909297299572,3.6814492653149578,2.1538053360790355,0.0565835283663675,0.7739963251111731,0.2141248053528473,5.2731428593080825,5.341274183692175,4.7366048753142485,4.880685525261125,4.682011390800693,3.241840183564671,0.7048719644563528,1.0772429989324606
ACH-000837,1.1953475983222193,4.743622676067655,0.7048719644563528,6.184081890370264,5.331633567171029,0.1110313123887439,0.0285691521967709,0.5058909297299572,0.01435529297707,0.6415460290875237,5.558267634055736,0.4541758931858021,1.3219280948873624,3.75702324650746,4.795974694206668,6.261154672615572,0.2630344058337938,0.0285691521967709,5.672990993827748,5.177120502846516,5.943686951597095,6.303963356245303,2.27500704749987,0.1243281350022017,0.2265085298086797,0.3673710656485294
