,CD80 (941),CD86 (942),H2BU1 (128312),CD28 (940),MACROH2A1 (9555),H3Y2 (340096),H2AC1 (221613),H2AC7 (3013),H2AW (92815),H2AC8 (3012),FCGR1A (2209),H2AC21 (317772),H3C14 (126961),H2AC19 (723790),C9 (735),CTSG (1511),H3Y1 (391769),H4C9 (8294),FCGR3B (2215),FCGR2A (2212),C8A (731),H3-4 (8290),C7 (730),FCGR3A (2214),C8G (733),FCGR2B (2213),C8B (732),HLA-DRB5 (3127),C6 (729),C5 (727),ELANE (1991),H4-16 (121504),C4B (721),C4A (720),H4C15 (554313),HLA-DPA1 (3113),H2AB3 (83740),HLA-DPB1 (3115),HLA-DQA1 (3117),HLA-DQA2 (3118),HLA-DQB1 (3119),H4C14 (8370),H2BC3 (3018),H2AX (3014),H2AZ1 (3015),H2BC5 (3017),C2 (717),H3-3B (3021),C1S (716),C3 (718),C1QB (713),H2AC12 (85235),C1QA (712),H3-3A (3020),C1R (715),C1QC (714),H2BC12 (85236),ACTN2 (88),HLA-DRB1 (3123),ACTN3 (89),HLA-DRA (3122),H2AC11 (8969),HLA-DOA (3111),HLA-DOB (3112),H3C7 (8968),TNF (7124),H4C4 (8360),H4C12 (8362),MACROH2A2 (55506),H4C6 (8361),H2AZ2 (94239),H4C3 (8364),H4C11 (8363),H4C2 (8366),HLA-DMB (3109),H4C8 (8365),HLA-DMA (3108),ACTN4 (81),H4C13 (8368),H2BC11 (8970),ACTN1 (87),H4C5 (8367),H4C7 (8369),H2BW1 (158983),H2BC21 (8349),GRIN2A (2903),GRIN2B (2904),RO60 (6738),TRIM21 (6737),H3C4 (8351),H3C1 (8350),H2BC18 (440689),H3C8 (8355),H3C11 (8354),H3C6 (8353),H4C1 (8359),IL10 (3586),SSB (6741),H3C10 (8357),H3C15 (333932),H3C12 (8356),H2BW2 (286436),H2AB1 (474382),H3-5 (440093),H2AC20 (8338),H2BC8 (8339),H2AB2 (474381),H2AJ (55766),SNRPD3 (6634),IFNG (3458),H2BC13 (8340),H2BC10 (8346),H2BC9 (8345),H2BC17 (8348),H2BC4 (8347),H2BC14 (8342),H2BC15 (8341),H2BC6 (8344),H2BC7 (8343),CD40LG (959),CD40 (958),SNRPB (6628),H2AC13 (8329),H3C13 (653604),H2AC18 (8337),H2AC17 (8336),SNRPD1 (6632),H2AC4 (8335),H2AC6 (8334),H2AC16 (8332),H2AC14 (8331),H2BC1 (255626),H2AC15 (8330)
ACH-000694,0.01435529297707,1.4646682670034443,1.8718436485093173,0.01435529297707,7.713627087261187,0.0,0.0,0.0,4.754887502163468,2.8439838440483265,0.4222330006830478,0.2750070474998698,0.7398481026993274,3.9616233282869446,0.0285691521967709,1.6780719051126378,0.0,0.9855004303048848,0.0,0.1890338243900171,0.0,0.2750070474998698,0.070389327891398,0.0,0.9107326619029126,0.2509615735332188,0.0,0.765534746362977,0.01435529297707,0.8718436485093178,0.6690267655096305,2.1473066987802936,1.144046369616707,0.9855004303048848,2.937344392150232,0.5558161550616396,0.137503523749935,0.2868811477881615,0.0565835283663675,0.070389327891398,0.0565835283663675,4.545968369105292,0.1505596765753814,5.541328977045604,9.014271594596202,5.663913842115978,2.6644828403646823,9.654385414571133,3.4449320489421824,4.381975478557301,0.0,1.1890338243900171,0.0,9.391157648220478,3.674686619927999,0.0,6.72982464363689,0.0285691521967709,1.632268215499513,0.01435529297707,2.9597701552114675,2.353323291162897,0.01435529297707,2.189033824390017,0.8875252707415875,0.0840642647884745,0.2265085298086797,0.0,5.128870759465125,0.0,7.194362890727586,1.0071955014042038,4.932155684432056,0.411426245726465,0.6599245584023783,3.968090752045256,2.403267722339301,7.841469999465799,0.4222330006830478,2.060047383669939,7.331902233804704,1.5801454844233804,0.0,0.2141248053528473,3.237257770900372,0.1110313123887439,0.0840642647884745,4.441616269406558,4.414812060565847,0.9708536543404837,0.3561438102252753,1.883620816285672,1.5008020530571575,0.7311832415722002,1.2265085298086795,1.144046369616707,0.0,6.939814257495547,2.978195629681652,1.2265085298086795,1.2078928516413328,0.0976107966264223,0.0,0.632268215499513,2.422233000683048,3.144046369616707,0.0,7.528336893135771,8.33404976759958,0.0,1.726831217032493,0.411426245726465,2.5897634869849773,1.8639384504239715,3.880685525261125,0.5260688116675876,1.6276068381296498,1.5558161550616396,1.4646682670034443,0.0,2.6507645591169022,7.752949249054722,2.780310099043376,1.480265122054463,4.269033146455237,2.0143552929770703,7.03121873061072,0.4956951626240688,4.476381687567235,0.9486008474933558,1.0285691521967708,0.0,1.722466024471091
ACH-000619,0.01435529297707,0.5655971758542251,1.1375035237499351,0.0,7.031108428608229,0.0,0.0,0.0,4.404630684217612,1.8155754288625725,0.2387868595871164,0.2387868595871164,1.5210507369009632,4.937815168803419,0.0565835283663675,0.070389327891398,0.0,0.4956951626240688,0.01435529297707,0.0285691521967709,0.0,0.4005379295837288,0.01435529297707,0.01435529297707,1.063502942306158,0.0,0.0,0.2986583155645151,0.0,1.769771739249448,0.1634987322828795,2.7548875021634687,2.4594316186372973,2.778208576398088,2.851998837112446,0.2387868595871164,0.6229303509201767,2.877744249949002,0.2986583155645151,0.0,2.572889668420581,4.4886435398537845,0.137503523749935,5.2505826647875375,8.235966340524739,4.480265122054463,1.9373443921502325,9.106562940444883,3.568032104771279,7.260966564519485,0.0,0.4646682670034443,0.0,8.172627521822136,4.9415758618182375,0.0,6.4307870508650105,0.1763227726404629,1.782408564927373,0.01435529297707,1.4750848829487828,1.5753123306874368,0.0285691521967709,2.097610796626422,0.1110313123887439,0.0976107966264223,0.0,0.0,4.0798047546352585,0.0,7.770432646788098,0.3785116232537298,3.304511041809953,0.0976107966264223,0.632268215499513,2.189033824390017,2.114367024952,8.189231548647284,0.2016338611696504,3.3175935046234715,7.03199060858887,1.1043366598147355,0.0,0.070389327891398,3.6403895600549454,0.0426443374084937,0.0,3.631104282365877,4.4269356196483365,0.8237493603082727,0.4222330006830478,1.6959938131099002,0.918386234446348,0.2265085298086797,0.9927684307689242,0.8155754288625725,0.0,6.765534746362977,1.883620816285672,0.0,0.879705766282288,0.01435529297707,0.1243281350022017,0.7311832415722002,1.15704371014558,1.9523335663696857,0.0,6.81326814176608,7.46532151358055,0.0,0.9855004303048848,0.2630344058337938,1.3673710656485294,1.2448870591235344,3.534808661231747,0.137503523749935,1.2690331464552371,0.5753123306874368,0.9411063109464316,0.01435529297707,5.198886990956932,8.19981955110565,1.3276873641760472,0.963474123974886,5.008988783227255,1.550900664647523,6.677085350559835,0.2387868595871164,4.108524456778169,0.632268215499513,0.3673710656485294,0.0,0.6870606883398922
ACH-000647,0.0,0.0,0.01435529297707,0.01435529297707,7.093813673402728,0.0,0.0,0.0,0.137503523749935,4.113533819591914,0.1763227726404629,1.0840642647884746,1.6735564239901446,5.073820233291672,0.070389327891398,0.0426443374084937,0.0,1.875780063068488,0.0,0.1890338243900171,0.0,0.0840642647884745,0.0,0.0,1.761285273361619,0.0,0.0,0.5058909297299572,0.0,2.18269229751619,0.1763227726404629,2.150559676575381,1.1243281350022014,1.4382928515791469,3.277984747299765,0.4436066514756146,0.411426245726465,0.2509615735332188,0.1110313123887439,0.1634987322828795,2.8659188145522125,4.995032192477536,0.137503523749935,6.1657109924849305,9.466260037632273,5.37608196665007,0.9411063109464316,9.547241590725656,3.748461233004035,5.474111513942408,0.0,1.3391373849195856,0.0,8.789174964331377,4.931683057059805,0.0,6.807612523172633,0.01435529297707,1.4329594072761065,0.0426443374084937,0.9927684307689242,2.356143810225275,0.137503523749935,1.0285691521967708,0.6690267655096305,0.2265085298086797,0.6959938131099002,0.0,3.884597920990065,0.0,9.573173784686484,1.4222330006830477,3.1811025507537978,0.4646682670034443,2.521050736900963,3.1210154009613658,3.3405622690264134,8.698010061537433,0.0,4.056583528366367,8.334854269331633,1.807354922057604,0.0,0.0,5.271649772457207,0.0,0.0,4.324810603420484,1.6959938131099002,1.7398481026993275,2.2172307162206693,2.2479275134435857,1.6276068381296498,0.5058909297299572,1.1826922975161902,0.8318772411916731,0.1243281350022017,7.062531902717616,2.4195388915137843,1.82781902461732,0.9486008474933558,0.0,0.4005379295837288,0.7990873060740036,2.0840642647884744,3.960697039304312,0.2630344058337938,5.36737106564853,9.566434646283282,0.0,1.3161457422933562,0.5849625007211562,1.0356239097307212,1.989139007368233,4.6959938131099,0.7570232465074596,2.137503523749935,0.8639384504239714,3.0669502439246266,0.0,4.866907978143166,8.119459934459325,2.3045110418099526,1.1699250014423124,6.850249358286328,2.0531113364595623,6.776893568522074,0.5459683691052926,4.609400390006429,2.0250287944915226,0.0,0.0,1.4382928515791469
ACH-000231,0.0565835283663675,0.2750070474998698,0.2016338611696504,0.1110313123887439,8.255878352582787,0.0,0.0,0.0,3.2357270598380583,2.039138393906958,0.5160151470036647,0.3334237337251918,1.1634987322828796,6.170125361839952,0.1763227726404629,0.5753123306874368,0.0,0.7570232465074596,0.0426443374084937,0.8399595874895318,0.0,0.0,1.459431618637297,0.0,1.8953026213333068,0.0285691521967709,0.0,0.1763227726404629,0.0,1.9745293124838816,0.2141248053528473,1.7739963251111732,2.488000770834068,2.666756591884804,3.00539998774259,0.5360529002402097,0.1505596765753814,0.4005379295837288,0.2387868595871164,0.0,0.0426443374084937,4.871350840634026,0.0,5.677508242264722,9.55316847939807,4.710393192170516,0.3895668117627256,9.41333174421571,5.474760499576783,3.2249663650002742,0.0,0.8639384504239714,0.0,9.412167572006016,5.707911254185168,0.0,7.686850653393137,1.3219280948873624,0.2387868595871164,0.0285691521967709,0.6599245584023783,2.671293372481576,0.0,2.405992359675837,0.5655971758542251,0.1243281350022017,0.9560566524124028,0.0,5.236492618381302,0.0,8.130210165776761,0.8875252707415875,3.548436624696042,0.137503523749935,0.6507645591169022,3.921245888585589,2.0840642647884744,9.857374562661448,0.0,3.894332742277694,8.959683229289373,1.111031312388744,0.0,0.0,4.361768359419154,0.01435529297707,0.01435529297707,4.7311832415722,4.0557162635125446,0.5360529002402097,0.3103401206121505,2.4982508675278257,0.6507645591169022,0.0,1.8991756304805127,0.2986583155645151,0.0285691521967709,6.365972427593384,2.9981955031532523,1.411426245726465,1.3504972470841332,0.0,0.2986583155645151,0.8237493603082727,2.0806576633452254,1.82781902461732,0.6599245584023783,6.364222221093532,7.898450232807866,0.0,1.1763227726404628,0.3561438102252753,1.82781902461732,3.588564737401352,4.063502942306158,0.0,2.4356285940520905,0.4646682670034443,0.7484612330040357,0.01435529297707,0.0426443374084937,7.750472518762509,3.1602748314085933,1.7739963251111732,5.74604398299834,2.7484612330040354,7.020146573111776,0.1763227726404629,4.976363635732762,1.292781749227846,0.0,0.0,1.84799690655495
ACH-000837,0.01435529297707,0.0,1.1505596765753812,0.01435529297707,7.809864573066018,0.0,0.0,0.0,4.020591094773247,1.9107326619029128,0.2141248053528473,0.4436066514756146,1.4854268271702415,5.485748821377781,0.01435529297707,0.137503523749935,0.0,1.0565835283663676,0.0,0.1505596765753814,0.0,0.2509615735332188,0.0565835283663675,0.0,1.5058909297299572,0.01435529297707,0.0,0.0285691521967709,0.0,1.0426443374084935,0.0,3.0303360783709588,0.9486008474933558,0.8639384504239714,3.177917792195843,0.3448284969974411,0.2387868595871164,0.2630344058337938,0.1634987322828795,0.070389327891398,0.0976107966264223,5.251340382788616,0.1243281350022017,6.927422428739871,9.370447664147536,4.762348815644129,0.2265085298086797,9.24555270625568,0.7824085649273732,2.0669502439246266,0.0,0.632268215499513,0.0,8.627679788097602,0.722466024471091,0.0,7.845050903014725,0.0426443374084937,0.3673710656485294,0.0426443374084937,0.6870606883398922,2.028569152196771,0.01435529297707,0.2868811477881615,0.0,0.2141248053528473,0.0,0.0840642647884745,4.72137265947682,0.0,7.709704193140806,1.2141248053528475,2.799087306074004,0.3673710656485294,0.2016338611696504,3.883620816285671,0.9560566524124028,8.244887059123535,0.0,4.651912744645783,8.180307019969433,1.2570106182060237,0.0,0.0,3.095924419998536,0.0565835283663675,0.01435529297707,4.493775408460703,2.963474123974886,0.2986583155645151,0.7907720378619999,1.948600847493356,0.0,0.0,1.5897634869849773,0.7824085649273732,0.0,7.300764373248062,1.996388746447621,2.37851162325373,0.5058909297299572,0.0,0.0,0.8639384504239714,1.5008020530571575,2.625270489374693,0.0,8.0437381998014,7.776696213918695,0.0,1.3276873641760472,0.0,0.0426443374084937,2.6530600171045644,4.377123749129487,0.1243281350022017,2.1667154449664223,0.4436066514756146,1.1375035237499351,0.0,0.070389327891398,7.24193549589192,1.859969548221026,1.752748591407134,5.617944917420585,1.3448284969974411,7.336640446408735,0.0,3.405992359675837,1.0496307677246008,0.6415460290875237,0.0,0.5849625007211562
