,CASP10 (843),CASP8 (841),CXCL10 (3627),CHUK (1147),TRIM25 (7706),TNF (7124),IFNA5 (3442),IFNA4 (3441),IFNA2 (3440),ATG12 (9140),TBKBP1 (9755),FADD (8772),SIKE1 (80143),IFNA1 (3439),RIPK1 (8737),CXCL8 (3576),MAPK9 (5601),IL12B (3593),MAPK10 (5602),ISG15 (9636),MAPK11 (5600),MAP3K1 (4214),IL12A (3592),MAPK13 (5603),IKBKB (3551),MAP3K7 (6885),IFNA17 (3451),TKFC (26007),IFNA21 (3452),IFNA6 (3443),IFNA7 (3444),IFNA8 (3445),IFNA10 (3446),OTUD5 (55593),IFNA13 (3447),IFNA14 (3448),IFNA16 (3449),DDX3X (1654),IKBKE (9641),NFKB1 (4790),NFKBIB (4793),NFKBIA (4792),IRF3 (3661),IFIH1 (64135),IKBKG (8517),MAPK8 (5599),MAPK14 (1432),MAPK12 (6300),RELA (5970),DDX3Y (8653),IFNE (338376),TRAF6 (7189),TRAF3 (7187),TRAF2 (7186),IFNB1 (3456),TANK (10010),CYLD (1540),TRADD (8717),ATG5 (9474),DDX58 (23586),PIN1 (5300),MAVS (57506),IFNK (56832),DHX58 (79132),TBK1 (29110),STING1 (340061),IFNW1 (3467),AZI2 (64343),NLRX1 (79671),IRF7 (3665),RNF125 (54941)
ACH-000694,2.1602748314085933,4.6959938131099,0.0840642647884745,3.8609627978581167,5.31397137105902,0.0840642647884745,0.0285691521967709,0.0,0.0,4.788163657037767,1.2265085298086795,7.421896512042248,4.447579196548882,0.1243281350022017,3.358958825832329,3.137503523749935,4.504620392403552,0.01435529297707,3.0942360698457656,4.743622676067655,2.2387868595871168,1.819668183496456,0.722466024471091,3.944858445807539,3.9523335663696857,4.032982416699428,0.0,5.230741002626909,0.0,0.0,0.0,0.0285691521967709,0.0,5.405992359675837,0.0426443374084937,0.0,0.0,7.097084015651172,3.726831217032493,4.956056652412403,3.984589350362457,6.135247549809567,6.131342539123261,2.6848187375532224,4.668459556915382,4.2433644256936605,4.922197848396367,4.017031080527841,5.23189316164533,0.070389327891398,1.411426245726465,2.587364990936461,3.612352498752662,4.344118334521428,0.0,5.179112900678563,3.873813198359087,4.04788732939655,4.625854931368057,2.090853430451113,6.209648311246554,4.108524456778169,0.0285691521967709,3.3291235962915664,3.991861930556323,4.91169158187234,0.01435529297707,4.404630684217612,3.1391420191456887,3.2203299548795554,0.137503523749935
ACH-000619,2.0531113364595623,4.577126661307052,0.4750848829487828,3.007195501404204,5.856487779495678,0.0976107966264223,0.0,0.0,0.0,4.5453506448223,2.2570106182060234,5.896756218474805,4.4356285940520905,0.2016338611696504,3.15704371014558,2.7420062108667365,4.349082146391089,0.0426443374084937,2.2448870591235344,9.74879664207743,1.8914191868460783,2.6870606883398924,0.9107326619029126,4.349082146391089,4.579542224936903,3.8011586560936985,0.0,4.746850183098051,0.0,0.01435529297707,0.0,0.0,0.0,4.986410935252045,0.01435529297707,0.0,0.0,6.2049623305425134,3.1342209397606338,4.135042286233651,4.371558862611963,6.182493674945368,6.787902559391432,5.246408087246385,4.3269687115878925,4.37016428054021,4.4269356196483365,4.522306892871389,5.606738317417591,3.815575428862573,1.5897634869849773,2.0874628412503395,3.4594316186372973,6.272396509037485,0.2387868595871164,5.256255873202732,3.321928094887362,4.625270489374693,3.963474123974886,4.033863451866284,5.234194722953812,4.58014548442338,0.0,5.1440463696167065,4.120186027531863,5.472487771462744,0.0,4.223422549934937,3.060047383669939,5.598424760527719,0.1505596765753814
ACH-000647,2.3305584000308026,3.661065479806948,0.0,4.220329954879555,5.216454865144756,0.2265085298086797,0.0,0.0,0.0,5.282069075198131,2.189033824390017,5.499845887083206,5.977737849242815,0.1110313123887439,3.548436624696042,2.634593268445757,5.062639828286463,0.070389327891398,1.2387868595871168,6.198886990956932,2.2357270598380583,3.374343989038501,1.3103401206121503,5.284292026394312,2.6182386555954547,4.23342794374847,0.0,4.189824558880018,0.0,0.0,0.0,0.0,0.0,4.478324711485028,0.0,0.0,0.0,6.916715481461834,3.341985747228616,4.542877099354142,5.30560578958543,4.891905188211931,6.341096237957642,2.488000770834068,5.005849075696688,6.341096237957642,5.48058827023386,4.325530331567558,5.059614856297222,0.070389327891398,1.2078928516413328,2.319039815562536,4.742545233866053,5.207892851641333,0.0,4.516645557780962,3.097610796626422,2.8257856274647914,5.4063325778217095,2.211012193485512,6.073391816052921,3.6507645591169022,0.0285691521967709,2.339137384919585,4.4886435398537845,3.9763636357327616,0.0,6.15562781584529,2.75702324650746,2.1858665453113337,0.2630344058337938
ACH-000231,1.2016338611696504,3.915520900751959,4.335569005556748,4.416839741912829,5.729552770453971,0.1243281350022017,0.0426443374084937,0.0,0.0,5.8858183719899175,2.0531113364595623,4.167518503735217,5.508428652531857,0.4222330006830478,4.916476644437717,1.7092906357233577,5.15704371014558,0.0,0.7990873060740036,10.685624839726357,3.381283372503784,3.451540833017832,0.7048719644563528,2.16349873228288,4.7300964655954685,5.138732569720239,0.0,3.743084055549586,0.0426443374084937,0.0,0.0,0.0426443374084937,0.0,6.150153455246247,0.0,0.0,0.0,7.963878669225047,2.91456452349394,4.485426827170242,4.635173946674924,5.936166777979151,6.43229133824778,5.238786859587116,5.698218478224414,5.320484678017694,5.314696525656286,4.357552004618084,5.421896512042248,0.0285691521967709,1.5945485495503542,2.411426245726465,4.387500406480984,4.62993940943954,0.4222330006830478,4.88410945135923,5.010779838753242,3.843983844048328,5.419201773848765,6.414642958410008,6.816343705284859,3.752748591407134,0.0,3.795974694206668,4.184280294419382,5.887037791419196,0.0285691521967709,5.426600226169925,2.7441610955704103,1.722466024471091,0.5058909297299572
ACH-000837,0.070389327891398,4.7554217347342425,0.0285691521967709,3.150559676575381,5.181102550753798,0.2141248053528473,0.0,0.0,0.0,5.775050541483175,1.8559896973084808,5.672708195622218,5.358255586705128,0.0,3.448900951145128,2.978195629681652,4.828834649468056,0.070389327891398,0.6135316529179271,4.23189316164533,1.7990873060740036,2.070389327891398,1.1826922975161902,5.851749041416057,4.456806149230474,3.989139007368233,0.0,5.842476062993939,0.0,0.0,0.0,0.0,0.0,4.008988783227255,0.0,0.0,0.0,6.954777925005068,4.044394119358453,4.630521963471638,4.4950555283680185,6.175324989184902,5.865423978313134,3.0840642647884744,4.053111336459563,4.402585758232587,4.268284666520996,3.2854022188622483,6.127014141582809,4.85897561429202,0.01435529297707,2.0669502439246266,4.044394119358453,5.248307120087241,0.0,4.889960199658641,3.249445341085839,4.0798047546352585,4.519164449806069,3.4168397419128294,5.738767836800191,3.5570424152637194,0.0,0.2141248053528473,4.5496691707264905,2.364572432295856,0.0,5.569551851083613,3.468583317006828,0.3219280948873623,0.1890338243900171
