,CASP9 (842),CASP8 (841),SFN (2810),TSC2 (7249),IGF1 (3479),CDK1 (983),GADD45B (4616),RCHY1 (25898),ZMAT3 (64393),IGFBP3 (3486),RRM2B (50484),ADGRB1 (575),TP73 (7161),SERPINB5 (5268),RPRM (56475),PPM1D (8493),BID (637),MDM4 (4194),BAX (581),MDM2 (4193),TP53AIP1 (63970),CASP3 (836),TP53I3 (9540),PMAIP1 (5366),PIDD1 (55367),COP1 (64326),PERP (64065),GADD45G (10912),EI24 (9538),SESN2 (83667),ATM (472),ATR (545),SESN3 (143686),CHEK2 (11200),APAF1 (317),CDKN2A (1029),RRM2 (6241),CDKN1A (1026),BBC3 (27113),GADD45A (1647),TNFRSF10B (8795),DDB2 (1643),GTSE1 (51512),SIAH1 (6477),CCND1 (595),CD82 (3732),PTEN (5728),CDK2 (1017),CHEK1 (1111),SESN1 (27244),CDK4 (1019),SERPINE1 (5054),TP53 (7157),CCNE2 (9134),FAS (355),CDK6 (1021),CYCS (54205),STEAP3 (55240),CCNB2 (9133),CCND2 (894),SHISA5 (51246),CCNB1 (891),CCNG1 (900),CCNE1 (898),CCNB3 (85417),THBS1 (7057),CCNG2 (901),CCND3 (896)
ACH-000694,2.713695814843359,4.6959938131099,10.09156761628941,5.572889668420581,0.2141248053528473,6.28021399581062,5.404971223589166,4.2890967024199895,1.769771739249448,7.214416268711034,1.790772037862,0.4854268271702416,2.682573297347578,6.515857501257905,0.7311832415722002,2.944858445807539,6.184478671187091,4.110196177754199,6.899417348675079,4.12350066435096,1.1309308698264486,5.74604398299834,2.7070829917717063,4.07724299893246,3.9900472195737935,4.569248029867182,8.462093229486815,1.3334237337251915,6.274820737040401,2.472487771462744,3.587364990936461,4.189033824390017,2.4776773275653072,4.491853096329675,3.212569338850806,0.2986583155645151,6.514122260170708,6.510803720358323,0.7048719644563528,5.409051438538562,4.316145742293356,5.618532333976294,5.291308859828971,5.242221395098369,8.687235694107043,6.701964839175899,4.558267634055736,5.525129251203973,4.292781749227846,2.929790997718597,6.9478998862482655,3.899175630480513,4.349789870241872,3.257010618206024,2.18269229751619,4.128458384146928,7.383445102418999,2.788685710613534,6.831370587967541,1.6461626571578936,5.817623257511431,7.680746300314991,4.563768278452033,2.192194165283345,0.3448284969974411,5.023255352300303,4.056583528366367,4.631104282365877
ACH-000619,3.303050084681673,4.577126661307052,8.904273338240259,5.329841176530628,0.0,5.316869805064333,4.563768278452033,3.788685710613534,2.344828496997441,10.200285605224298,2.875780063068488,0.9708536543404837,1.9373443921502325,5.603774686463973,0.01435529297707,2.327687364176047,4.9963887464476215,3.0789513413948217,7.124948426681075,4.3729520979118295,0.1634987322828795,3.624100894628114,3.61706334388818,4.818134760810847,3.884597920990065,4.238022517825721,7.055390904734795,0.8237493603082727,5.972003303808356,2.269033146455237,3.20006486151431,4.680324356844016,0.4956951626240688,4.55704241526372,2.969012307516316,0.3673710656485294,5.861211003457162,5.568032104771279,2.6870606883398924,6.234003066355604,5.056149961108142,5.600804954989473,4.7964939294258375,3.96254902292306,7.834723855003643,5.666756591884804,4.003602236680195,5.742814669862893,4.436295119839363,2.0874628412503395,6.609400390006429,6.430619810959776,5.808899839257769,2.032100843167024,3.2539892662307865,4.588564737401351,6.576975554206532,4.672990993827748,5.745775149485796,0.1243281350022017,7.751744884327697,7.493375137936567,5.346956889378885,2.918386234446348,0.2016338611696504,5.625562739966372,2.657640005207824,4.454833906898869
ACH-000647,3.2387868595871163,3.661065479806948,9.212399107912526,5.389222616355895,0.2630344058337938,7.751410160064371,4.715893370547605,4.799087306074004,2.5360529002402097,4.8283269264148165,3.670160514126634,0.7739963251111731,3.1618876823768938,3.891419186846079,0.01435529297707,2.9653225483672547,7.03738222200308,3.6848187375532224,7.574782720838753,5.368419155081396,0.0426443374084937,3.643856189774725,4.932628157022127,4.938756261492295,2.4168397419128294,4.637494325206311,6.343407822297814,1.769771739249448,6.700023496075152,3.2448870591235344,4.168321115739722,3.6915341649192,0.3103401206121505,4.909293085823824,3.0373822220030804,7.060155495254604,7.397203995910633,7.260778431893426,2.448900951145128,7.247832596173846,5.209843230525496,5.36387192485753,5.021035479511363,3.853995647176393,7.194362890727586,5.638942668908808,5.087462841250339,6.138323004056484,5.313608657030487,2.7506065048355923,7.29746657376321,7.66838864015862,6.36562255611334,3.927896453728821,3.933572638261024,4.611762560064872,8.597158683183727,2.9708536543404835,6.193180353742616,1.263034405833794,5.9593064897596575,7.913188619508888,5.461397589926158,4.498250867527825,2.0942360698457656,7.116239979469368,4.222650022451478,5.393690764187454
ACH-000231,3.791814071161826,3.915520900751959,1.922197848396367,5.768978250344548,0.0565835283663675,6.446752484566551,6.410917687455214,4.46401472450489,2.263034405833794,7.931092055027499,3.493134922305505,0.0426443374084937,0.5849625007211562,0.6135316529179271,0.3448284969974411,2.883620816285671,6.15279185163912,3.495695162624069,7.296732704584347,3.902073579310743,0.0426443374084937,5.0716768737518585,4.938756261492295,4.032100843167024,3.1176950426697547,4.784503982929566,4.214124805352848,0.3219280948873623,5.904243227203662,3.438292851579147,4.042644337408494,4.139142019145689,1.956056652412403,2.9164766444377164,3.6599245584023774,9.013266835091237,6.744699314207836,4.877744249949002,2.7506065048355923,6.943804143834752,5.872336288104642,4.148120631123964,5.125981653854716,4.351204277257994,7.03375335188982,4.361768359419154,3.619413010597937,6.353499735245657,4.83035674741922,2.788685710613534,7.297191416565856,5.431288654291593,6.468420401864552,4.4087118610294285,4.839959587489532,4.0866139474094965,7.31786479839195,4.750606504835592,7.036283527988446,0.1763227726404629,7.374604819190937,8.682643520280294,6.082574866339516,4.666756591884804,0.4222330006830478,10.558037984776997,4.442943495848728,6.379031732028535
ACH-000837,3.075532631167357,4.7554217347342425,7.86461950725484,5.043956872790206,0.0285691521967709,6.338067797542616,6.391458420049668,5.08278773170927,2.2570106182060234,4.606442228131607,3.353323291162897,0.2265085298086797,1.6644828403646823,5.962317654942308,0.0565835283663675,2.3015876466031866,6.177718511162183,3.354734239970604,6.682573297347578,4.865423978313134,0.2986583155645151,4.606442228131607,6.162089162028208,5.317231700222606,3.351910961103077,4.713695814843359,6.581049900945041,2.761285273361619,7.541638734436141,2.414135532984451,4.371558862611963,3.326249700837456,1.7355221772965377,4.604664415163704,2.7484612330040354,0.3561438102252753,7.626074036090307,4.998195503153252,1.565597175854225,5.821710215034674,4.693208148910016,5.515384460636948,5.030336078370959,4.03738222200308,8.493455200926176,3.554588851677637,5.101818134227409,5.434294617959925,6.22650852980868,1.3617683594191536,6.90977310414164,0.5655971758542251,5.7753139752538125,3.430285272977781,0.411426245726465,4.434294617959925,8.033478065182841,4.862451391325582,6.382321407114501,0.070389327891398,6.335747634299735,8.245647773636751,4.053980168187652,3.93451650158608,1.4750848829487828,6.973840839533145,3.476381687567235,4.859969548221026
