,SRD5A3 (79644),AKR1C4 (1109),CYP3A5 (1577),HSD3B2 (3284),UGT2B28 (54490),HSD3B1 (3283),COMT (1312),SULT2B1 (6820),CYP3A4 (1576),CYP7A1 (1581),CYP11A1 (1583),AKR1C3 (8644),HSD11B2 (3291),SULT1E1 (6783),HSD11B1 (3290),HSD17B2 (3294),HSD17B3 (3293),CYP21A2 (1589),HSD17B1 (3292),CYP19A1 (1588),CYP17A1 (1586),CYP11B2 (1585),CYP11B1 (1584),HSD17B6 (8630),HSD17B7 (51478),UGT2B11 (10720),UGT2A3 (79799),UGT1A4 (54657),CYP3A7 (1551),UGT1A1 (54658),UGT1A3 (54659),UGT1A10 (54575),UGT1A8 (54576),UGT1A7 (54577),UGT1A6 (54578),UGT1A5 (54579),HSD17B8 (7923),AKR1C2 (1646),AKR1C1 (1645),CYP1A1 (1543),CYP1B1 (1545),STS (412),UGT2A1 (10941),SRD5A2 (6716),SRD5A1 (6715),CYP3A43 (64816),CYP7B1 (9420),UGT1A9 (54600),AKR1D1 (6718),HSD17B12 (51144),UGT2B10 (7365),UGT2B7 (7364),UGT2B4 (7363),UGT2B17 (7367),UGT2B15 (7366)
ACH-000694,3.7803100990433753,0.0,2.4905701304462013,0.01435529297707,0.01435529297707,0.0,7.421054946924242,5.436295119839363,0.0426443374084937,0.01435529297707,0.137503523749935,7.304784806643481,4.549053029337288,3.475084882948783,0.137503523749935,0.2509615735332188,1.1375035237499351,0.01435529297707,2.3362833878644325,0.3103401206121505,0.070389327891398,0.0,0.0,1.0565835283663676,4.241840183564671,0.01435529297707,0.01435529297707,1.867896463992655,0.3448284969974411,3.7322691995014496,2.922197848396367,0.1505596765753814,0.8559896973084807,1.4436066514756147,8.443813825110803,0.765534746362977,5.168321115739722,9.006830968500456,6.328585176788811,4.335569005556748,3.805292455600712,3.063502942306158,0.0285691521967709,0.0976107966264223,4.2861418728343015,0.0565835283663675,0.0,0.0,0.0565835283663675,6.11332544304199,0.01435529297707,0.070389327891398,0.070389327891398,0.0,0.1634987322828795
ACH-000619,3.1747259877061333,0.0,0.8237493603082727,0.0,0.0,0.0,6.296273846706719,2.104336659814736,0.0285691521967709,0.0,0.0976107966264223,2.765534746362977,2.594548549550354,0.01435529297707,0.1505596765753814,0.2986583155645151,1.2203299548795556,0.137503523749935,1.4005379295837286,0.0840642647884745,0.0285691521967709,0.0,0.01435529297707,1.5897634869849773,3.985500430304885,0.0,0.0,0.411426245726465,0.2016338611696504,1.1309308698264486,0.7136958148433591,0.2630344058337938,0.0976107966264223,0.2509615735332188,5.001351892999959,0.2387868595871164,2.944858445807539,1.918386234446348,1.9597701552114672,2.1009776477248208,3.849999259466098,1.510961919277379,0.0,0.0426443374084937,3.171527106038814,0.0,0.0,0.1634987322828795,0.0,6.174526265266431,0.0,0.0426443374084937,0.0285691521967709,0.0285691521967709,0.0
ACH-000647,3.625270489374693,0.0,0.2868811477881615,0.0,0.0,0.0,8.157144792299476,1.1763227726404628,0.0,0.01435529297707,1.8875252707415875,0.8155754288625725,2.18269229751619,0.2750070474998698,0.0,0.1110313123887439,0.0565835283663675,0.0285691521967709,1.516015147003665,0.0976107966264223,0.01435529297707,0.0,0.0,1.769771739249448,3.657640005207824,0.0,0.0,0.0285691521967709,0.0,0.01435529297707,0.1634987322828795,0.2141248053528473,0.0,0.0,1.6690267655096307,0.0,3.613531652917927,0.4436066514756146,0.3785116232537298,2.925999418556223,5.742545233866053,0.722466024471091,0.0,0.0285691521967709,5.351557662450426,0.0285691521967709,1.8237493603082728,0.137503523749935,0.0,5.332707933640605,0.0,0.0,0.0,0.0,0.0
ACH-000231,2.5084286525318573,0.0,0.3673710656485294,0.0,0.0,0.2265085298086797,8.088629255297176,0.2265085298086797,0.01435529297707,0.0285691521967709,0.0,1.8639384504239715,0.7048719644563528,0.0,0.0,0.765534746362977,0.6780719051126377,0.1110313123887439,1.4698859762744636,0.137503523749935,0.01435529297707,0.0,0.0,2.488000770834068,3.3146965256562866,0.0,0.0,0.0,0.0,0.0426443374084937,0.0,0.1110313123887439,0.0426443374084937,0.1634987322828795,0.2509615735332188,0.070389327891398,0.6959938131099002,0.6959938131099002,1.3045110418099528,0.7907720378619999,3.426264754702098,3.807354922057604,0.0,0.0285691521967709,4.294988267691446,0.0,0.0,0.0426443374084937,0.0285691521967709,4.750606504835592,0.0,0.0565835283663675,0.0,0.0,0.0426443374084937
ACH-000837,3.082361969557473,0.0,0.1763227726404629,0.0,0.0,0.0,8.56711948795167,5.538538163629804,0.0285691521967709,0.0,0.0285691521967709,3.980939266085512,2.049630767724601,0.2750070474998698,0.6870606883398922,0.1505596765753814,0.0,0.070389327891398,0.879705766282288,0.0426443374084937,0.01435529297707,0.0,0.0,0.8953026213333066,4.139960569545456,0.01435529297707,0.01435529297707,0.0,0.0285691521967709,0.137503523749935,0.0,0.137503523749935,0.0,0.1763227726404629,1.948600847493356,0.0,0.6599245584023783,7.089159131911238,1.372952097911829,4.001802242633985,7.641256998726767,1.5008020530571575,0.01435529297707,0.0426443374084937,4.212569338850806,0.0,2.424922088210688,0.0,0.0976107966264223,6.0386995513055854,0.0,0.01435529297707,0.0,0.3673710656485294,0.0285691521967709
