,GRM5 (2915),PLCB2 (5330),RYR1 (6261),PLCB1 (23236),RAF1 (5894),PRKCB (5579),PRKCA (5578),PLCB3 (5331),PLCB4 (5332),IGF1 (3479),CRHR1 (1394),GRM1 (2911),CRH (1392),IGF1R (3480),PLA2G3 (50487),GRID2 (2895),PRKCG (5582),JMJD7-PLA2G4B (8681),CACNA1A (773),PLA2G6 (8398),PLA2G2E (30814),PLA2G10 (8399),MAP2K2 (5605),PLA2G2A (5320),BRAF (673),PLA2G4A (5321),ITPR3 (3710),PLA2G5 (5322),PLA2G12B (84647),MAP2K1 (5604),NOS1 (4842),GRIA3 (2892),GRIA2 (2891),GRIA1 (2890),PLA2G4B (100137049),PLA2G2F (64600),NRAS (4893),MAPK3 (5595),GUCY1B1 (2983),GUCY1A1 (2982),PRKG1 (5592),PRKG2 (5593),MAPK1 (5594),PLA2G1B (5319),HRAS (3265),ITPR1 (3708),ITPR2 (3709),GNA12 (2768),GNA13 (10672),GNA11 (2767),KRAS (3845),GNAI1 (2770),GNAI2 (2771),GUCY1A2 (2977),PPP2CB (5516),ARAF (369),PPP2CA (5515),PPP2R1A (5518),PPP2R1B (5519),PLA2G4E (123745),GNAQ (2776),GNAS (2778),PPP1R17 (10842),GNAI3 (2773),GNAO1 (2775),GNAZ (2781),PLA2G2C (391013),PLA2G2D (26279),PLA2G12A (81579),LYN (4067)
ACH-000694,0.01435529297707,0.4436066514756146,3.534808661231747,3.277984747299765,5.314696525656286,0.7824085649273732,2.9392265777282085,4.873321062914816,0.2265085298086797,0.2141248053528473,0.0426443374084937,0.0565835283663675,0.0,4.260778431893426,0.0426443374084937,0.0,0.1243281350022017,3.3362833878644325,1.0908534304511135,4.514753498439753,0.0,3.297191416565856,6.606886339275915,3.40735275114004,2.839959587489532,3.4168397419128294,4.892391025913404,0.0976107966264223,0.0,5.308156975114762,1.1953475983222193,0.01435529297707,0.2141248053528473,0.01435529297707,2.925999418556223,1.144046369616707,3.836934011321092,5.515384460636948,0.6040713236688608,0.3673710656485294,0.4956951626240688,1.5897634869849773,5.699051844016849,0.0,6.421896512042248,1.570462931026041,2.3701642805402097,4.423578170981798,4.101818134227409,5.066519781429746,3.932628157022127,4.782932704820837,5.963011647599427,0.01435529297707,5.1034976397033365,5.5906618959652645,6.842853156014834,6.535275376620803,3.431622959713292,1.38404980679516,4.334139178838237,9.29008798401597,0.0,2.073820233291672,2.18269229751619,0.6959938131099002,0.0,0.01435529297707,4.884597920990064,3.2555007331483865
ACH-000619,0.0,0.765534746362977,4.246408087246385,1.0496307677246008,5.661920579135087,0.0285691521967709,3.189033824390017,4.44028782084042,1.2387868595871168,0.0,0.0,0.0,0.0426443374084937,3.9945797242157473,0.01435529297707,0.0,0.0426443374084937,2.269033146455237,0.3561438102252753,2.9523335663696857,0.0426443374084937,1.9597701552114672,5.846493315964563,0.5260688116675876,2.6622054996536164,1.097610796626422,5.2505826647875375,0.0285691521967709,0.0,5.237257770900372,0.6870606883398922,0.0,0.0,0.0,2.6803243568440163,0.4646682670034443,4.141596278383818,5.140369670651527,0.0285691521967709,0.0,0.0426443374084937,0.879705766282288,4.939226577728209,0.0,6.264348763351165,1.584962500721156,2.140778655782796,4.28835856219366,3.7803100990433753,4.348374075191163,3.625270489374693,4.160274831408593,5.915042791371977,0.01435529297707,5.494735604862796,4.842978831788326,5.632849830117706,6.211401637418471,3.307428525192248,0.137503523749935,4.606442228131607,9.468257468323142,0.01435529297707,2.144046369616707,2.967168607532628,1.232660756790275,0.1505596765753814,0.01435529297707,3.399171093819823,4.064365540263628
ACH-000647,0.0426443374084937,1.5945485495503542,4.5453506448223,0.8399595874895318,6.998985248258895,0.070389327891398,3.090853430451113,4.425593577653059,2.6622054996536164,0.2630344058337938,1.0,0.01435529297707,0.01435529297707,4.959770155211468,0.01435529297707,0.0,1.4489009511451278,1.2690331464552371,0.5655971758542251,2.241840183564671,0.0,0.4329594072761063,6.433627167084783,0.0,3.624100894628114,1.3219280948873624,5.4114262457264655,0.0285691521967709,0.0285691521967709,5.667040559022988,0.0,0.070389327891398,0.0976107966264223,0.01435529297707,2.028569152196771,0.1110313123887439,5.439623137557117,5.057016965365539,0.2509615735332188,0.0565835283663675,1.726831217032493,0.5849625007211562,7.632922515461243,0.0,4.888499735514123,4.789207575347344,3.277984747299765,6.148527425160464,4.032100843167024,5.083213368248981,4.05484847699562,5.107269393592545,6.443772392763739,0.0426443374084937,6.310521900369323,4.754353071692127,7.168421410851924,6.785550551739256,4.71699089440494,0.0,4.044394119358453,9.669877160489095,0.0,3.102658131363739,3.7676547982373454,3.785550551739256,0.0,0.0,5.018812185742817,4.139960569545456
ACH-000231,0.0285691521967709,0.9708536543404837,0.7990873060740036,1.0908534304511135,6.630085070002124,0.137503523749935,3.902073579310743,4.111031312388744,4.277984747299765,0.0565835283663675,0.0,0.0285691521967709,0.1763227726404629,4.807870078299782,0.0426443374084937,0.0,0.3103401206121505,2.316145742293356,2.584962500721156,3.158660175346498,0.0,0.1243281350022017,6.767522386228545,0.1110313123887439,3.264536430999025,1.713695814843359,4.519164449806069,0.0,0.0976107966264223,6.534964249804655,0.0,4.574707046415546,0.2387868595871164,1.6599245584023783,1.6825732973475784,0.0,5.813524689297811,4.910732661902912,1.8237493603082728,0.4005379295837288,0.01435529297707,0.0,5.727103603522661,0.1763227726404629,5.609400390006429,4.62702310555406,4.178714641175443,5.708739041359579,3.846994686965573,5.47021145739054,4.379898163524692,1.7865963618908067,8.558573776240628,1.9818526532897407,6.754353071692127,6.304693557471008,6.77623561482759,7.664056112718223,4.095080491901415,0.0,4.812498225333564,9.815014969266636,0.0,3.609991295212679,1.726831217032493,2.5310694927259543,0.01435529297707,0.0,4.3384244147835584,3.7644735509926655
ACH-000837,1.1953475983222193,0.2016338611696504,0.01435529297707,2.277984747299765,5.39746072605472,0.2141248053528473,2.448900951145128,4.49761236561836,2.8094144442358986,0.0285691521967709,0.4436066514756146,0.0426443374084937,0.01435529297707,4.66732447027863,0.0,0.0,0.7990873060740036,2.1076878693143737,0.2630344058337938,1.4382928515791469,0.0,0.0565835283663675,6.506049668250324,0.2265085298086797,2.5921580021253603,3.286881147788161,4.880195728943098,0.0,0.0,6.855491443101874,0.01435529297707,0.0,0.070389327891398,0.2016338611696504,2.4329594072761065,0.0,1.292781749227846,4.9740703670240265,2.776103988073164,2.6982184782244136,0.2509615735332188,1.8875252707415875,5.241840183564671,0.0,5.502712485966061,1.5459683691052926,2.521050736900963,5.0298945496633385,4.111865963867557,4.903520373723376,4.522306892871389,3.158660175346498,4.631686366311998,0.4005379295837288,5.319039815562536,4.590362488463746,6.921959917326167,7.186361891252986,4.678635347822744,0.0,3.364572432295856,9.464566170501396,0.0,2.4828482830684653,1.2141248053528475,0.4222330006830478,0.0,0.0,6.2049623305425134,4.6194130105979365
