,GGPS1 (9453),PDSS1 (23590),HMGCS2 (3158),IDI2 (91734),HMGCS1 (3157),MVK (4598),ACAT2 (39),ACAT1 (38),FDPS (2224),PDSS2 (57107),PMVK (10654),DHDDS (79947),MVD (4597),HMGCR (3156),IDI1 (3422)
ACH-000694,4.689858236319245,2.8257856274647914,0.0565835283663675,0.0285691521967709,5.61559285651096,4.2712762591759255,4.70984201927331,4.361768359419154,7.459759466619821,3.3132458517875616,5.12350066435096,4.859969548221026,5.292413667827485,5.398829182444627,4.743622676067655
ACH-000619,3.8698714061777126,2.9597701552114675,0.0,0.0,5.817111572795697,3.896271848807375,4.862451391325582,4.152994605492435,7.555279338296046,2.8933622107638715,3.949534933017012,4.451540833017832,5.401903471607959,5.745775149485796,5.595742339474399
ACH-000647,4.524189078449365,3.5084286525318573,0.1110313123887439,0.0,6.081297014138268,4.269781238274379,5.680886920719692,5.948834425578686,8.0171981525831,3.321928094887362,5.478971805032942,4.851499202461257,5.285772093249838,4.792855352362489,5.898933871780176
ACH-000231,4.677508242264722,3.021479727410452,0.0,0.0,5.967168607532628,3.704871964456353,5.62993940943954,4.621758856709732,7.603403804166527,3.119356177039676,4.832383716549126,5.582857034844238,5.515699838284043,5.916715481461834,5.2720231890610485
ACH-000837,4.148120631123964,4.095080491901415,0.01435529297707,0.0,4.785550551739256,3.426264754702098,5.222263603528345,5.854743738995535,7.570311124318804,3.321928094887362,5.667892125230234,4.805292455600712,5.246408087246385,4.624685810525398,3.784503982929567
