,NCAM2 (4685),EGR1 (1958),NCAM1 (4684),ELK1 (2002),NOTCH1 (4851),PRKX (5613),C6 (729),CCL5 (6352),C5 (727),IL1B (3553),SOD1 (6647),STIP1 (10963),MAP2K2 (5605),HSPA1A (3303),MAP2K1 (5604),BAX (581),PRKACA (5566),PRKACB (5567),PRKACG (5568),IL1A (3552),HSPA5 (3309),PRNP (5621),C9 (735),C1QB (713),C1QA (712),LAMC1 (3915),C1QC (714),MAPK3 (5595),FYN (2534),C8A (731),C7 (730),IL6 (3569),C8G (733),C8B (732),MAPK1 (5594)
ACH-000694,0.0285691521967709,7.348816660414406,0.2265085298086797,3.880685525261125,5.002252451731379,4.155425431747197,0.01435529297707,1.7949356628035362,0.8718436485093178,1.5753123306874368,8.003152448666922,7.758622982440239,6.606886339275915,8.700959826915897,5.308156975114762,6.899417348675079,4.986410935252045,3.4462562298895643,0.0,1.5058909297299572,7.676098120912218,6.0576668767997095,0.0285691521967709,0.0,0.0,6.170926525287385,0.0,5.515384460636948,2.8439838440483265,0.0,0.070389327891398,0.2141248053528473,0.9107326619029126,0.0,5.699051844016849
ACH-000619,0.01435529297707,6.895908464806237,0.1110313123887439,3.7355221772965375,5.187055089968057,2.411426245726465,0.0,6.739578112048051,1.769771739249448,5.2268938135713885,7.215581533665725,7.1936731952876976,5.846493315964563,6.936048963676615,5.237257770900372,7.124948426681075,4.908332569782425,3.04788732939655,0.0,3.788685710613534,8.654063132643982,7.4167553120640335,0.0565835283663675,0.0,0.0,6.363521543546545,0.0,5.140369670651527,2.263034405833794,0.0,0.01435529297707,2.7070829917717063,1.063502942306158,0.0,4.939226577728209
ACH-000647,0.0,7.966707314150316,0.0565835283663675,4.37016428054021,2.111031312388744,2.356143810225275,0.0,0.0285691521967709,2.18269229751619,0.7570232465074596,8.68404726161302,7.469234793667656,6.433627167084783,7.28715827825949,5.667040559022988,7.574782720838753,6.004950759951045,4.4269356196483365,0.0,0.6229303509201767,9.204546691583657,6.314333993919012,0.070389327891398,0.0,0.0,7.547280155663464,0.0,5.057016965365539,4.100977647724821,0.0,0.0,8.413712542087795,1.761285273361619,0.0,7.632922515461243
ACH-000231,0.1110313123887439,4.324810603420484,4.7414669864011465,5.967399198924614,3.6881803585869264,3.460742563789644,0.0,6.9985340182791775,1.9745293124838816,1.1763227726404628,8.54055429247515,7.192490092611494,6.767522386228545,5.992541859109112,6.534964249804655,7.296732704584347,6.31124879044183,4.762348815644129,0.0,0.3785116232537298,8.91211090901986,7.257293545817498,0.1763227726404629,0.0,0.0,7.305970520984387,0.0,4.910732661902912,6.1224656581792365,0.0,1.459431618637297,3.475084882948783,1.8953026213333068,0.0,5.727103603522661
ACH-000837,1.6369145803558778,3.734438666137167,1.2448870591235344,4.33199177823206,2.918386234446348,3.0107798387532423,0.0,0.7484612330040357,1.0426443374084935,0.1505596765753814,8.29195343397636,7.322018260509772,6.506049668250324,7.567195561406875,6.855491443101874,6.682573297347578,4.429615964201735,4.55028504908841,0.0,0.8953026213333066,8.453887917785664,6.206916672538598,0.01435529297707,0.0,0.0,7.163096138436012,0.0,4.9740703670240265,2.563158130402808,0.0,0.0565835283663675,0.7398481026993274,1.5058909297299572,0.0,5.241840183564671
