,NAA80 (24142),ECHS1 (1892),ALDH9A1 (223),ALDH3A2 (224),HADHA (3030),ALDH1B1 (219),EHHADH (1962),YOD1 (55432),ALDH2 (217),ALDH7A1 (501)
ACH-000694,2.280956313831056,6.333244816996384,5.144862142915734,6.063287212206184,6.359661722333877,3.2047667506546134,3.654206377944292,3.351910961103077,6.519321734629434,0.6690267655096305
ACH-000619,1.922197848396367,5.2731428593080825,4.9453267772646265,5.6544928258834615,5.901108243014512,2.8579809951275723,3.00539998774259,3.1795110502715103,4.727375938594897,6.046796609573758
ACH-000647,2.8298495598446904,6.79259510251225,5.203201156316611,5.317231700222606,7.528493181191486,4.534186139090097,2.956056652412403,3.75595576955096,5.398487190018967,5.35508676166836
ACH-000231,3.4905701304462013,6.778208576398088,5.255878352582786,4.408032466130653,5.913846824263042,5.266411766036114,0.6780719051126377,2.769771739249448,1.8914191868460783,6.725468512632615
ACH-000837,1.918386234446348,6.631831850610098,5.565597175854225,7.494015517480295,6.606146078065724,3.942045259916047,1.752748591407134,3.526068811667588,0.411426245726465,5.829342193902803
