,PLA2G15 (23659),AP3B2 (8120),GGA1 (26088),SLC11A1 (6556),PPT1 (5538),MFSD8 (256471),CTSZ (1522),NAGPA (51172),IGF2R (3482),ARSG (22901),ATP6V0A1 (535),CTSW (1521),ATP6V0B (533),LGMN (5641),CTSS (1520),AP4S1 (11154),LAMP2 (3920),ATP6AP1 (537),LAPTM5 (7805),AP1S3 (130340),CLTCL1 (8218),AP4B1 (10717),AP3B1 (8546),LAMP3 (27074),ATP6V0A4 (50617),CTSL (1514),ABCB9 (23457),AP1B1 (162),CTSK (1513),SLC11A2 (4891),GNPTAB (79158),SMPD1 (6609),CTSH (1512),AP1G1 (164),CTSG (1511),CTSE (1510),LAPTM4A (9741),GM2A (2760),LAMP1 (3916),CTSO (1519),GGA2 (23062),CTSV (1515),AP3M1 (26985),CTSC (1075),GBA (2629),AP3D1 (8943),CD164 (8763),ATP6V1H (51606),HGSNAT (138050),ABCA2 (20),DNASE2B (58511),AGA (175),AP3M2 (10947),ATP6V0D2 (245972),ARSA (410),CTSD (1509),CTSB (1508),ARSB (411),TCIRG1 (10312),GNS (2799),PPT2 (9374),DNASE2 (1777),SORT1 (6272),ASAH1 (427),AP4E1 (23431),GALNS (2588),AP4M1 (9179),PSAPL1 (768239),IDUA (3425),IDS (3423),ATP6V0C (527),GALC (2581),GNPTG (84572),NEU1 (4758),M6PR (4074),GUSB (2990),AP3S2 (10239),GLA (2717),GGA3 (23163),ATP6V0A2 (23545),FUCA1 (2517),NPC2 (10577),ATP6V0D1 (9114),ENTPD4 (9583),SGSH (6448),AP1M2 (10053),CD68 (968),CD63 (967),GLB1 (2720),CTSF (8722),MANBA (4126),MAN2B1 (4125),PSAP (5660),CTNS (1497),LIPA (3988),AP1S2 (8905),AP1M1 (8907),LAPTM4B (55353),NAPSA (9476),HEXB (3074),AP3S1 (1176),SUMF1 (285362),MCOLN1 (57192),AP1S1 (1174),HEXA (3073),NPC1 (4864),SLC17A5 (26503),SCARB2 (950),HYAL1 (3373),CLN5 (1203),CTSA (5476),TPP1 (1200),CLTA (1211),CLTB (1212),CLN3 (1201),CLTC (1213),ACP2 (53),GAA (2548),ACP5 (54),NAGA (4668),NAGLU (4669)
ACH-000694,3.3348542693316325,0.6040713236688608,5.125568451778029,0.8718436485093178,6.992655149386832,4.305970520984387,5.429615964201735,3.844988156682612,5.067380578019059,1.2448870591235344,4.124328135002202,0.0285691521967709,6.083000565676004,6.7414669864011465,5.013908845490639,3.861955364144869,6.373300196608389,6.528258742758412,0.5849625007211562,5.174326515173915,2.563158130402808,2.682573297347578,4.890933021705543,2.8933622107638715,0.6229303509201767,6.070389327891398,2.140778655782796,5.612057559563064,1.4436066514756147,4.922197848396367,4.060047383669939,2.451540833017832,8.87817355959088,5.51096191927738,1.6780719051126378,0.0840642647884745,8.519990003893712,5.294253136444514,7.621978584346795,1.6182386555954549,4.9886846867721655,4.663913842115978,4.668459556915382,6.535430914871279,5.223036337901875,5.800123352826528,6.665478047626244,4.8494989317201815,3.289834465177509,3.1060132376221192,0.0285691521967709,5.043519493662743,3.1538053360790355,0.1634987322828795,4.23342794374847,8.98185265328974,7.739375585896123,2.140778655782796,6.904484097901423,4.634012356402116,4.6915341649192,5.039138393906958,2.3305584000308026,6.14425035619052,2.9763636357327616,4.485426827170242,3.6380738371807184,3.588564737401352,2.361768359419153,4.7755773609306535,7.119252412157343,0.722466024471091,5.48155728070859,4.199279721336625,6.733896605247495,4.714795011118162,4.904002316283692,5.083213368248981,5.214124805352848,2.978195629681652,2.780310099043376,8.014968932777121,6.109778429078662,4.118525848935668,3.720278465233327,6.465484779018499,5.5530532527664125,8.371384613557957,3.819668183496456,1.7484612330040354,3.4828482830684653,5.199279721336625,9.038288015097006,2.9011082430145123,5.160678213220501,2.944858445807539,4.308885057411763,7.313699344087177,1.070389327891398,6.49281457256712,5.509062386361898,4.068670810665099,3.1521834190550453,6.357727932310624,3.150559676575381,4.733354340613827,2.5160151470036647,5.377817853083645,2.538538163629804,4.144862142915734,6.753016128735835,5.790772037862,7.124431535471043,7.20006486151431,4.767125077269071,6.535430914871279,3.452858964713811,4.241840183564671,0.8318772411916731,4.446917864866026,4.03738222200308
ACH-000619,3.964398632203184,1.4222330006830477,4.922197848396367,0.3103401206121505,7.164102412481752,3.424922088210688,8.017643583497337,3.676944359106912,5.425593577653059,1.516015147003665,4.606442228131607,0.0285691521967709,6.23112515787905,6.0916998341368105,4.507794640198696,2.372952097911829,6.760753208062987,6.330737650206952,1.4168397419128294,4.308885057411763,2.307428525192248,3.016139702655253,4.672990993827748,3.895302621333306,0.0426443374084937,8.237257770900372,2.9873208659292536,5.046141781644721,1.803227036434928,4.779259720372376,3.452858964713811,3.794935662803536,9.26826127026485,5.10936055940423,0.070389327891398,0.070389327891398,7.789403225964586,4.298658315564516,8.184825764907252,1.6915341649192002,5.128458384146928,7.095924419998536,3.729008870337863,5.234961094839504,6.0522419811811385,5.839959587489532,6.980939266085512,4.488000770834068,4.129283016944966,5.639521599510833,0.0285691521967709,4.526068811667588,3.327687364176047,0.0840642647884745,4.886062338345599,9.791927997905372,6.948484044267701,1.726831217032493,7.346247774082776,5.747387399652718,4.351910961103077,5.861459166361513,3.0197019144425483,5.678916986679839,2.553360503335328,4.709290635723358,4.595742339474399,0.3219280948873623,2.720278465233327,4.012568673503056,6.884353706847985,3.316145742293356,4.851499202461257,5.731454807698346,6.9199359173494575,5.75702324650746,4.283921772307617,5.320484678017694,4.469234793667656,3.363171077119244,4.589763486984977,8.595406685890143,5.521050736900963,4.49761236561836,5.2935176304174245,5.780310099043375,7.310794527066784,9.293402673721223,4.983221650742669,3.854993016757,3.241840183564671,5.167919865551935,9.834060147322106,3.0686708106650986,5.906409617094015,3.0373822220030804,3.676944359106912,6.949184721814688,1.5945485495503542,7.152994605492435,5.4950555283680185,4.930737337562887,3.2464080872463845,7.410239330776022,6.633721812641012,5.161484638641659,3.634593268445757,5.126807703142035,3.33771109212829,3.982765462583646,7.321116350602373,5.504302583163168,6.450716388718072,6.527789751572327,4.485426827170242,6.202025844609336,4.799087306074004,6.188638294561388,5.249824548616183,4.183486514459391,4.731726322715782
ACH-000647,4.0900065299038175,2.488000770834068,5.340206179911712,0.0426443374084937,6.92362461136832,3.793895882548878,8.467483282610498,3.699329525673156,5.470536865092583,2.1342209397606338,4.704318677760831,0.0840642647884745,7.042863176247121,5.646738698307846,0.903038270112912,3.3936907641874536,7.130930869826448,6.706668682179746,2.950468414150123,4.352617298958503,4.2433644256936605,4.017921907997263,4.980025300238734,2.3103401206121505,2.137503523749935,6.277612870756686,3.125981653854716,6.066950243924628,2.4462562298895643,4.124328135002202,4.072963271555224,2.666756591884804,5.4432751117658045,5.082361969557474,0.0426443374084937,1.1634987322828796,7.696272083925863,3.6507645591169022,8.007980336495347,1.0840642647884746,5.02768487693716,4.82273014794452,6.006522445622979,6.04745114041639,7.581049900945041,6.044612692957976,6.823876711241038,5.706806798597532,1.922197848396367,5.115199749385445,0.0,4.436295119839363,2.18269229751619,0.0285691521967709,2.9049657186840263,6.3729520979118295,6.862947248020921,2.6507645591169022,5.3384244147835584,5.472812666192388,5.290571850852079,4.395062799517578,4.995936703504587,6.07724299893246,3.2539892662307865,4.9140860970127225,3.984589350362457,0.933572638261024,2.62760683812965,6.123086750981061,7.63618957152566,4.161887682376894,4.602884408718419,6.216066783087033,7.380417772765277,6.083851587697961,5.137913322088407,5.874796965898665,4.703211467391146,4.364572432295856,5.593353770980297,7.18774795576891,5.635464198167884,4.934988201783478,3.775050541483175,6.40667271575583,4.34766565630097,8.581388911021353,6.170926525287385,0.1634987322828795,3.38404980679516,4.512858954449976,10.307428525192249,3.78345665436024,6.168521698992168,3.388189537156084,5.214513410080016,6.589913260672201,0.5655971758542251,6.617651119427331,6.65792577227638,5.983905662627891,3.323370069061269,7.15238625842844,6.494415610397496,3.71918344048179,2.1176950426697547,5.6194130105979365,1.6780719051126378,4.167518503735217,7.137298580921138,3.734438666137167,7.625708843064466,7.0304464394374415,4.389566811762726,7.717950543348598,5.340206179911712,4.866413481123453,3.27500704749987,4.098453246309274,3.925049964727359
ACH-000231,5.310703657225108,2.565597175854225,4.386121156814855,0.0426443374084937,6.976249058832341,3.39231742277876,3.405992359675837,3.403267722339301,6.2635978485439,1.070389327891398,4.643856189774724,0.3673710656485294,7.855429149225015,6.932864335305521,3.14893410452634,2.4594316186372973,8.708118245511125,7.845301861056826,1.2016338611696504,1.7004397181410922,3.396433531250992,3.848998430400023,5.437294331497144,0.8559896973084807,0.1505596765753814,6.509695841933388,2.572889668420581,4.350497247084133,2.430285272977781,4.321928094887363,4.475084882948782,5.478324711485028,5.112283108598204,5.620586410451877,0.5753123306874368,0.070389327891398,7.86956299961785,4.356848079236522,7.644649453919565,2.3701642805402097,5.177120502846516,4.038260575175349,4.9354597478052895,5.468909092110591,6.0925457415435655,6.641546029087524,7.880318193612829,5.444269502413482,4.896756218474805,4.969933274697856,0.1890338243900171,5.402926780581626,3.9717734471933728,0.0840642647884745,4.836429131161648,8.680394689326219,8.387069532589274,4.10936055940423,5.622051819456376,6.691952843047669,3.538538163629804,6.179112900678563,5.929317594911761,6.60229058486114,3.85897561429202,5.071247819461442,4.275752048828529,0.0285691521967709,2.7441610955704103,6.888743248898259,7.43028527297778,3.3088850574117634,5.453188309548226,6.111031312388744,6.854120356087815,6.365797502459385,5.783194703376154,5.676662334857967,4.348374075191163,3.950468414150123,5.502075956045791,8.473421646674854,6.759422185696328,5.1969217338203295,3.2387868595871163,2.8698714061777126,4.839455765224628,10.079751431095088,6.455984709225996,4.779785005301132,3.523561956057013,4.869377924031328,9.859674545548012,2.495695162624069,6.010556078374215,6.796234335175764,5.609991295212678,7.224966365000275,0.1505596765753814,8.14639047567022,6.711494906650088,4.876271360550127,3.868884273028773,7.085764553778314,6.820561927963839,5.941106310946432,3.473786911614367,6.4797802640291,0.5558161550616396,4.073820233291672,7.405992359675837,5.356495987705577,8.508864374442553,6.476867688933087,4.207892851641333,6.705977901682522,4.602884408718419,4.588564737401351,0.2750070474998698,3.64961545906341,4.039138393906958
ACH-000837,3.969933274697856,0.4005379295837288,4.690975738343275,0.3895668117627256,6.882520781889342,3.5801454844233804,1.9597701552114672,3.035623909730721,5.753818443173543,1.2141248053528475,4.0900065299038175,0.2630344058337938,6.7329475083394135,5.720004786954807,0.8318772411916731,3.1538053360790355,5.579843886211581,6.218974857123272,2.316145742293356,4.766065051474954,1.0071955014042038,3.344828496997441,4.93969674069176,0.0976107966264223,0.1243281350022017,6.036723106005525,2.2720231890610485,5.716442236843321,1.560714954474479,4.248686626873828,3.680324356844016,2.84799690655495,4.184280294419382,6.036063688743695,0.137503523749935,0.3103401206121505,7.1815001517046095,3.212569338850806,7.559185865787734,0.9411063109464316,4.891905188211931,7.219652565103806,4.562547724199122,8.191404728852763,5.915998851738901,6.261154672615572,6.656353352457627,4.650190123496775,3.768713657030485,3.327687364176047,0.0,4.815063017192867,4.1945598860226125,0.1763227726404629,2.563158130402808,7.317593504623471,6.84799690655495,3.524815928357506,5.930264245235024,5.145677455195635,2.361768359419153,4.469885976274464,5.198494153639083,5.532316959332765,2.353323291162897,4.305240965954483,2.669026765509631,0.0285691521967709,2.16349873228288,6.579843886211581,7.029011086659068,3.655351828612554,4.568640195419223,5.008092420948722,7.097926772909683,7.011674533380918,5.202809492125013,5.767919585801803,4.218006150284427,3.2600256559614555,5.049630767724601,7.316236270015338,6.220329954879555,4.016139702655253,4.28835856219366,6.14588121129242,3.626439136697315,9.059317418489616,4.990954860396993,0.1110313123887439,3.628773595201645,5.216842842837263,8.114158768720547,3.095924419998536,4.3750394313469245,2.8439838440483265,4.274261661257048,7.005175391331941,0.2630344058337938,6.744026509531702,6.91169158187234,4.454175893185802,4.25171909260596,5.4886435398537845,6.720004786954807,4.904965718684027,3.20006486151431,5.123086750981061,0.2509615735332188,4.017031080527841,7.114471141795468,3.8972404255748,7.473705749619415,6.792725233305726,4.072105800480419,6.5470487505718,5.553667688483063,3.618238655595455,0.4646682670034443,3.485426827170241,3.396433531250992
