,GP1BA (2811),COL6A2 (1292),COL6A3 (1293),GP1BB (2812),COL5A2 (1290),COL6A1 (1291),LAMA1 (284217),VWF (7450),HSPG2 (3339),TNN (63923),FN1 (2335),ITGA9 (3680),GP9 (2815),COMP (1311),IBSP (3381),CD36 (948),CHAD (1101),GP5 (2814),VTN (7448),THBS4 (7060),ITGA4 (3676),ITGA3 (3675),ITGA2B (3674),ITGA7 (3679),ITGA5 (3678),COL5A1 (1289),COL4A6 (1288),ITGA11 (22801),SV2C (22987),COL2A1 (1280),COL3A1 (1281),COL4A1 (1282),AGRN (375790),COL4A2 (1284),COL4A4 (1286),ITGB3 (3690),ITGB4 (3691),RELN (5649),ITGB5 (3693),ITGB6 (3694),ITGB7 (3695),LAMC2 (3918),ITGAV (3685),ITGB1 (3688),LAMB2 (3913),SPP1 (6696),LAMB3 (3914),LAMC1 (3915),COL1A1 (1277),LAMA4 (3910),LAMA5 (3911),LAMB1 (3912),COL1A2 (1278),ITGA10 (8515),GP6 (51206),ITGA8 (8516),LAMB4 (22798),TNR (7143),CD47 (961),SV2A (9900),CD44 (960),DAG1 (1605),TNXB (7148),LAMA3 (3909),LAMA2 (3908),SDC3 (9672),ITGB8 (3696),ITGA6 (3655),ITGA2 (3673),ITGA1 (3672),SV2B (9899),TNC (3371),COL11A1 (1301),LAMC3 (10319),COL11A2 (1302),HMMR (3161),SDC2 (6383),SDC4 (6385),COL5A3 (50509),THBS3 (7059),COL6A6 (131873),THBS2 (7058),SDC1 (6382),THBS1 (7057)
ACH-000694,1.91456452349394,1.5753123306874368,0.4854268271702416,0.4436066514756146,2.538538163629804,2.356143810225275,1.1699250014423124,1.978195629681652,5.239932613485237,0.0,5.063502942306158,0.0565835283663675,0.0,0.0976107966264223,1.01435529297707,2.763411574470007,1.0840642647884746,0.0426443374084937,0.2750070474998698,0.765534746362977,1.510961919277379,5.885574364371426,1.5058909297299572,1.510961919277379,3.4867143730307024,4.94345253855882,1.8439838440483265,0.0285691521967709,0.0285691521967709,0.0285691521967709,0.4222330006830478,4.7554217347342425,6.802839440935111,4.9368734618242325,0.4854268271702416,0.1763227726404629,7.619046127336572,0.1243281350022017,5.104336659814735,4.1001366712854495,1.8914191868460783,6.215678596607928,4.930264245235024,7.289742265462451,7.348197003077914,4.078951341394822,7.688040447318729,6.170926525287385,3.9467308601403097,0.8718436485093178,8.192292814470767,5.933808661990121,0.7570232465074596,0.5058909297299572,0.9781956296816516,0.0,0.1763227726404629,0.0,5.404290064444837,0.0976107966264223,8.177867974518016,5.294253136444514,1.4905701304462011,5.986183362881372,0.8073549220576041,3.495695162624069,2.6848187375532224,6.3321708504151095,3.077242998932461,0.4222330006830478,0.0285691521967709,3.4154882710497003,0.0976107966264223,1.5801454844233804,0.6507645591169022,5.459103696135399,2.003602236680196,6.31397137105902,1.875780063068488,3.663344619366085,0.01435529297707,0.2016338611696504,7.998082647124651,5.023255352300303
ACH-000619,1.4436066514756147,4.711494906650088,0.1763227726404629,0.0,0.8953026213333066,5.117279460053921,0.0565835283663675,0.2016338611696504,6.377123749129487,0.0,4.71918344048179,0.0285691521967709,0.0,0.1890338243900171,0.0565835283663675,0.5558161550616396,0.5360529002402097,0.01435529297707,0.0426443374084937,0.2630344058337938,0.070389327891398,7.7712913742020895,2.1602748314085933,0.8237493603082727,5.892391025913404,5.573798643589297,1.372952097911829,0.0976107966264223,0.01435529297707,0.01435529297707,0.5849625007211562,5.628481994383899,7.470048726011326,7.207209595630036,0.0976107966264223,0.4005379295837288,8.290064938689651,1.9634741239748856,6.519793486241101,5.160678213220501,1.0772429989324606,6.988343852410407,5.601696516480957,8.28114183367197,6.612794794512364,0.5160151470036647,7.545891168032852,6.363521543546545,3.4672794804599825,2.140778655782796,8.268799288186763,6.682854168572234,0.9486008474933558,0.3673710656485294,0.2141248053528473,0.0,0.3785116232537298,0.0,6.738767836800191,1.7739963251111732,8.400836752365528,5.768184324776926,1.4168397419128294,5.936402377725063,0.4005379295837288,3.920293300211007,3.0143552929770703,6.5915597458278015,4.708739041359579,0.4956951626240688,0.0,3.989139007368233,0.5753123306874368,0.6135316529179271,0.5160151470036647,5.318316841334983,0.2750070474998698,7.481799431665752,0.2141248053528473,3.9457949567400608,0.0,0.137503523749935,6.989593184938768,5.625562739966372
ACH-000647,0.722466024471091,5.132165525478088,0.3103401206121505,1.372952097911829,6.785419772149728,5.59215800212536,3.981852653289741,0.2141248053528473,5.40667271575583,0.01435529297707,3.035623909730721,0.3103401206121505,0.0426443374084937,0.4956951626240688,0.0,0.3448284969974411,0.5945485495503542,0.1763227726404629,0.3785116232537298,0.2387868595871164,3.674686619927999,8.116551902293015,1.5753123306874368,1.4382928515791469,4.582556003014061,5.941810579957678,2.021479727410452,0.1243281350022017,0.0,0.1890338243900171,0.2509615735332188,5.930264245235024,7.997010074313842,7.065227622775619,0.1890338243900171,0.3448284969974411,7.705148528253018,0.2141248053528473,5.150153455246247,3.1292830169449664,0.2868811477881615,7.806646281732129,5.308156975114762,9.146415934170816,6.200457271428572,1.111031312388744,6.398829182444627,7.547280155663464,3.7070829917717054,2.560714954474479,9.254390904103094,8.358035754160035,2.241840183564671,0.4646682670034443,0.2265085298086797,0.0,1.292781749227846,0.01435529297707,5.877989585387208,3.5459683691052923,7.948016736776081,6.449231200669493,0.5945485495503542,5.900866807980749,0.8953026213333066,4.3125199674749455,4.087462841250339,5.212958362728285,7.725059450192119,2.9164766444377164,0.0,6.419370342528151,0.0426443374084937,1.4436066514756147,3.104336659814736,5.35508676166836,0.137503523749935,8.495055528368018,0.0565835283663675,3.977279923499916,0.0,0.2016338611696504,7.16450472565806,7.116239979469368
ACH-000231,0.963474123974886,8.311929917427188,6.651769271417989,1.5897634869849773,7.398914667885405,8.53476976146657,2.867896463992655,0.2986583155645151,5.111448698487674,0.0565835283663675,9.933882411487424,0.070389327891398,0.0,0.8718436485093178,0.0,4.560714954474479,0.3561438102252753,0.01435529297707,0.5753123306874368,1.655351828612554,4.633431210355632,7.522149933175767,0.4329594072761063,3.849999259466098,7.491211756003092,9.626274852858002,0.5260688116675876,4.381975478557301,0.0,0.2387868595871164,6.881052763405118,8.288220118846967,8.516803117442658,8.262799573076558,1.570462931026041,2.84197311892718,2.5993177936982264,0.01435529297707,8.094130482328547,0.632268215499513,0.8639384504239714,1.510961919277379,5.981624360696356,9.583007527207686,8.697697380042476,3.2094533656289497,3.333423733725192,7.305970520984387,9.670496924304416,4.454833906898869,7.189725740766969,7.408796762900331,10.508587112089476,0.722466024471091,0.0976107966264223,0.01435529297707,0.2141248053528473,0.0,6.032762073813794,3.13586316536868,7.775248121320633,6.80967167790706,0.9708536543404837,2.3673710656485296,1.2203299548795556,5.23189316164533,3.5372960670908418,3.651912744645783,2.724650271732968,3.78345665436024,0.01435529297707,8.473949221907715,2.715893370547605,0.3103401206121505,1.6599245584023783,5.440620047679168,7.831370587967541,7.118214352650125,0.0976107966264223,4.302319050948834,0.2265085298086797,0.3219280948873623,3.918386234446348,10.558037984776997
ACH-000837,0.8155754288625725,0.1890338243900171,0.0285691521967709,0.0,0.7048719644563528,0.1763227726404629,0.01435529297707,0.3673710656485294,3.93451650158608,0.0426443374084937,3.1292830169449664,0.0285691521967709,0.0,0.0,0.0,0.0976107966264223,0.3103401206121505,0.01435529297707,0.0426443374084937,0.632268215499513,0.1634987322828795,8.326069892145146,0.2016338611696504,0.9927684307689242,5.620586410451877,0.0565835283663675,0.7136958148433591,0.2750070474998698,0.3785116232537298,0.1505596765753814,0.2387868595871164,1.6040713236688608,7.308521062193259,1.7355221772965377,0.1763227726404629,0.3561438102252753,7.360627646192948,0.2630344058337938,7.544268990480814,4.87528859822269,0.4005379295837288,8.473137487772256,4.71918344048179,8.793993393788456,7.315874125039256,6.571828473050271,8.810250286028182,7.163096138436012,1.144046369616707,0.137503523749935,8.852123718743417,6.863690713660096,0.0426443374084937,1.956056652412403,0.0426443374084937,0.0285691521967709,0.0840642647884745,0.0,5.355439197248685,0.1634987322828795,3.440952198029637,6.097610796626422,0.6780719051126377,8.023366256327792,1.7570232465074596,1.1375035237499351,0.9855004303048848,6.963936452144486,5.737145919776202,1.613531652917927,0.0,0.7398481026993274,0.1634987322828795,0.2265085298086797,0.7990873060740036,5.533251851928969,1.0356239097307212,7.636914580355878,0.01435529297707,2.8318772411916733,0.0,0.0976107966264223,8.107583261763235,6.973840839533145
