,E2F1 (1869),RAF1 (5894),FGF9 (2254),HGF (3082),FGF8 (2253),FGF7 (2252),IGF1 (3479),FGF6 (2251),FGF5 (2250),PDGFD (80310),IGF1R (3480),FGF3 (2248),FGF4 (2249),FGF1 (2246),FGF2 (2247),FGF21 (26291),BAD (572),PDGFRB (5159),MAP2K2 (5605),BRAF (673),MAP2K1 (5604),MDM2 (4193),RB1 (5925),AKT1 (207),AKT2 (208),FGFR1 (2260),FGF14 (2259),FGF17 (8822),FGF16 (8823),AKT3 (10000),NRAS (4893),FGF10 (2255),FGF11 (2256),FGF12 (2257),FGF13 (2258),MAPK3 (5595),FGF19 (9965),MAPK1 (5594),PIK3R5 (23533),FGF20 (26281),HRAS (3265),EGFR (1956),PDGFC (56034),CDKN2A (1029),KRAS (3845),CDKN1A (1026),EGF (1950),FGF23 (8074),FGF18 (8817),ARAF (369),MET (4233),CCND1 (595),PTEN (5728),PIK3R3 (8503),PDGFA (5154),FGF22 (27006),PDGFB (5155),PDGFRA (5156),CDK4 (1019),TP53 (7157),E2F3 (1871),E2F2 (1870),PIK3CA (5290),PIK3CB (5291),CDK6 (1021),PIK3CD (5293),MITF (4286),PIK3CG (5294),PIK3R1 (5295),PIK3R2 (5296),CDH1 (999)
ACH-000694,4.4886435398537845,5.314696525656286,0.0,0.070389327891398,0.0,0.0,0.2141248053528473,0.0,0.0976107966264223,0.01435529297707,4.260778431893426,0.0,0.01435529297707,0.9411063109464316,1.15704371014558,0.1505596765753814,5.883865154509794,0.01435529297707,6.606886339275915,2.839959587489532,5.308156975114762,4.12350066435096,4.460742563789644,6.6849589615938525,5.04788732939655,3.2433644256936605,0.0840642647884745,0.2016338611696504,0.0,2.277984747299765,3.836934011321092,0.0,1.8914191868460783,2.9467308601403097,0.7907720378619999,5.515384460636948,1.1890338243900171,5.699051844016849,0.1763227726404629,0.0,6.421896512042248,5.286511557664227,2.526068811667588,0.2986583155645151,3.932628157022127,6.510803720358323,1.3673710656485294,0.0,0.2750070474998698,5.5906618959652645,4.474436043252266,8.687235694107043,4.558267634055736,3.077242998932461,4.985044962253466,0.3219280948873623,2.3103401206121505,0.01435529297707,6.9478998862482655,4.349789870241872,3.27500704749987,3.8708578643637614,3.3146965256562866,4.404630684217612,4.128458384146928,0.4222330006830478,2.280956313831056,0.0285691521967709,2.6599245584023783,3.451540833017832,7.048977225226046
ACH-000619,4.533563348214512,5.661920579135087,0.0,0.0565835283663675,0.2630344058337938,0.0285691521967709,0.0,0.0,0.0976107966264223,0.01435529297707,3.9945797242157473,0.0,0.0,0.4329594072761063,1.7949356628035362,0.0,5.73579292798531,0.2986583155645151,5.846493315964563,2.6622054996536164,5.237257770900372,4.3729520979118295,3.723558561472103,6.011003564432669,5.7238315664953205,3.405992359675837,0.0426443374084937,0.7907720378619999,0.0,1.4436066514756147,4.141596278383818,0.0,4.274261661257048,0.2630344058337938,1.4059923596758368,5.140369670651527,0.5459683691052926,4.939226577728209,0.0,0.0,6.264348763351165,5.44857062600553,1.790772037862,0.3673710656485294,3.625270489374693,5.568032104771279,0.4854268271702416,0.0,0.0840642647884745,4.842978831788326,5.309612772454123,7.834723855003643,4.003602236680195,2.2898344651775093,3.145677455195635,0.0976107966264223,3.097610796626422,0.0,6.609400390006429,5.808899839257769,3.177917792195843,2.3950627995175777,3.702657543390911,3.831877241191673,4.588564737401351,1.565597175854225,2.0461417816447205,0.0,2.097610796626422,2.771885578515366,7.657497100444111
ACH-000647,4.915520900751958,6.998985248258895,0.0,0.0285691521967709,0.0,0.0565835283663675,0.2630344058337938,0.0,1.4168397419128294,1.144046369616707,4.959770155211468,0.0,0.0,0.2387868595871164,3.6217588567097327,0.0426443374084937,6.10454633862346,1.070389327891398,6.433627167084783,3.624100894628114,5.667040559022988,5.368419155081396,2.855989697308481,5.883865154509794,6.14649230697719,4.509695841933388,0.1110313123887439,0.1634987322828795,0.0,3.842978831788325,5.439623137557117,0.0,2.6182386555954547,0.2868811477881615,0.0,5.057016965365539,0.1634987322828795,7.632922515461243,0.963474123974886,1.0840642647884746,4.888499735514123,6.238022517825721,4.921721947009604,7.060155495254604,4.05484847699562,7.260778431893426,1.879705766282288,0.0,1.4698859762744636,4.754353071692127,6.73903797911741,7.194362890727586,5.087462841250339,3.346247774082776,3.894332742277694,0.2986583155645151,4.396433531250992,0.2509615735332188,7.29746657376321,6.36562255611334,4.071247819461443,2.786596361890807,3.739848102699328,4.072105800480419,4.611762560064872,2.920293300211007,3.71259578044703,0.0426443374084937,1.3391373849195856,3.682573297347578,6.943218087426284
ACH-000231,4.743084055549586,6.630085070002124,0.01435529297707,0.411426245726465,0.2630344058337938,0.2387868595871164,0.0565835283663675,0.0,3.5801454844233804,1.8155754288625725,4.807870078299782,0.0,0.0,1.1309308698264486,3.40735275114004,0.1763227726404629,5.783194703376154,2.389566811762726,6.767522386228545,3.264536430999025,6.534964249804655,3.902073579310743,2.269033146455237,7.173926931999809,6.170926525287385,6.349259109904453,0.0285691521967709,0.3785116232537298,0.0,4.519793486241101,5.813524689297811,0.1110313123887439,1.82781902461732,3.734438666137167,0.8073549220576041,4.910732661902912,0.0285691521967709,5.727103603522661,0.0,0.2750070474998698,5.609400390006429,3.665620164066381,4.713145902490259,9.013266835091237,4.379898163524692,4.877744249949002,2.931683057059806,0.0,0.5655971758542251,6.304693557471008,6.39694722007283,7.03375335188982,3.619413010597937,4.640967910449898,3.568032104771279,0.5558161550616396,4.981396031972149,0.933572638261024,7.297191416565856,6.468420401864552,4.82781902461732,2.130930869826449,3.613531652917927,4.36667191611176,4.0866139474094965,3.2387868595871163,3.448900951145128,0.1110313123887439,4.907371413823563,4.118525848935668,1.7311832415722
ACH-000837,4.4809113460477485,5.39746072605472,0.0426443374084937,0.01435529297707,0.4646682670034443,0.1505596765753814,0.0285691521967709,0.0,0.1110313123887439,2.3305584000308026,4.66732447027863,0.0426443374084937,0.0,1.1309308698264486,0.9708536543404837,0.1763227726404629,6.394719912994065,0.1505596765753814,6.506049668250324,2.5921580021253603,6.855491443101874,4.865423978313134,3.871843648509318,6.476381687567235,5.273515889702116,2.451540833017832,0.0426443374084937,0.1243281350022017,0.0,3.970853654340484,1.292781749227846,0.01435529297707,0.4436066514756146,2.8619553641448694,0.5753123306874368,4.9740703670240265,0.1110313123887439,5.241840183564671,0.0285691521967709,0.0,5.502712485966061,5.237640195035385,4.726286289720674,0.3561438102252753,4.522306892871389,4.998195503153252,0.722466024471091,0.01435529297707,0.6870606883398922,4.590362488463746,5.246788093844365,8.493455200926176,5.101818134227409,3.8083850506560935,4.064365540263628,0.2630344058337938,4.174725987706133,0.0976107966264223,6.90977310414164,5.7753139752538125,3.998195503153252,1.4168397419128294,3.1842802944193824,4.20945336562895,4.434294617959925,0.6507645591169022,1.726831217032493,0.0285691521967709,2.1667154449664223,3.344828496997441,8.442072641229416
